ingredient,observed_on,cost_per_unit,unit,venue,source_invoice,pack,description
b-e:11605,2026-07-16,0.010950,g,stowaway,6969915,2kg,ANTIPASTO - CHARGRILLED EGGPLANT 2KG TUB (4) MEZZAT
b-e:12776,2026-07-16,0.012200,g,stowaway,6969915,5kg,CHICKEN BREAST (F) SLICE 5MM PREMIUM 5KG BAG
b-e:17723,2026-07-16,0.007250,g,stowaway,6969915,2kg,YOGHURT - GREEK 2KG PROCAL
b-e:18484,2026-07-16,0.026087,g,stowaway,6969915,690g,CANNED - ANCHOVY FILLETS IN OIL 690G(12) SELESTA
b-e:19626,2026-07-16,0.013700,g,stowaway,6969915,per kg (invoice),SAUSAGE - MILD SPANISH CHORIZO 1KG (15) PENDLE
b-e:28087,2026-07-16,0.013700,g,stowaway,6969915,1kg,CHILLI - FLAKE / CRUSHED 1KG CSI
bacchus:FD2MOTHER 23,2026-07-13,16.0817,bottle,stowaway,INV494857,bottle,First Drop Mothers Milk Shiraz 2023
bacchus:PETDETROSE 24,2026-07-13,15.9642,bottle,stowaway,INV494857,bottle,Petit Detour Rose 2024
combined-wines:CCCPN750ML,2026-07-13,62.1517,bottle,stowaway,SINV203712,bottle,CRITTENDEN CRI DE COEUR PINOT NOIR 750ML
combined-wines:CGPN750ML,2026-07-13,17.5608,bottle,stowaway,SINV203712,bottle,CRITTENDEN GEPPETTO PINOT NOIR 750ML
foodlink:100487,2026-07-16,0.030400,g,stowaway,SI4467596,125gm x CTN-12 (invoice),CHEESE CAMEMBERT 125GM Rosenberg
foodlink:100831,2026-07-16,0.015767,g,stowaway,SI4467596,6x500gm,CORN CHIPS ROSITA TRI 6X500GM
foodlink:101112,2026-07-16,0.043651,g,stowaway,SI4467596,12x63gm,FLOUR TORTILLAS 12X63GM 10INCH
foodlink:102689,2026-07-16,0.011400,g,stowaway,SI4467596,5kg,SQUID PINEAPPLE CUT IMP U5 5KG
foodlink:103272,2026-07-16,0.016600,g,stowaway,SI4467596,5kg,BARRAMUNDI FILLETS IMP 200/300 S/OFF 5KG
fresh-fruit-team:AH20T,2026-07-18,30.8000,tray,stowaway,INB00111714,per tray (invoice),Avocado Hass
fresh-fruit-team:BRL,2026-07-16,33.6000,box,stowaway,INB00111435,per box (invoice),Broccolini
fresh-fruit-team:CAULI-EA,2026-07-20,4.4000,ea,stowaway,INB00111833,per ea (invoice),Cauliflower
fresh-fruit-team:CELE,2026-07-16,10.8000,ea,stowaway,INB00111435,per ea (invoice),Celeriac
fresh-fruit-team:CL20KGBX,2026-07-20,0.001320,g,stowaway,INB00111833,per kg (invoice),Carrot Large
fresh-fruit-team:EGL7BX,2026-07-20,48.0000,box,stowaway,INB00111833,per box (invoice),Eggs 700 Grams
fresh-fruit-team:GRREA,2026-07-20,1.3200,ea,stowaway,INB00111833,per ea (invoice),Grapefruit Ruby Red
fresh-fruit-team:HCDRMB,2026-07-20,7.7000,bunch,stowaway,INB00111833,per bunch (invoice),Herb Coriander
fresh-fruit-team:HCMB,2026-07-20,13.2000,bunch,stowaway,INB00111833,per bunch (invoice),Herb Chives
fresh-fruit-team:KITCD5MM,2026-07-18,0.003900,g,stowaway,INB00111714,per kg (invoice),Carrot Diced 5mm
fresh-fruit-team:KITCELD5MM,2026-07-18,0.005900,g,stowaway,INB00111714,per kg (invoice),Celery Diced 5mm
fresh-fruit-team:KITCFKG,2026-07-16,0.007900,g,stowaway,INB00111435,per kg (invoice),Cauliflower Florets
fresh-fruit-team:KITCFKG,2026-07-18,0.007900,g,stowaway,INB00111714,per kg (invoice),Cauliflower Florets
fresh-fruit-team:KITCRAGKG,2026-07-18,0.007900,g,stowaway,INB00111714,per kg (invoice),Coleslaw Red And Green
fresh-fruit-team:KITCSKG,2026-07-16,0.007900,g,stowaway,INB00111435,per kg (invoice),Coleslaw
fresh-fruit-team:KITMUDKG,2026-07-18,0.011900,g,stowaway,INB00111714,per kg (invoice),Mushroom Diced
fresh-fruit-team:KITOWDKG,2026-07-18,0.009500,g,stowaway,INB00111714,per kg (invoice),Onion White Diced
fresh-fruit-team:LCBTPBX,2026-07-20,27.5000,box,stowaway,INB00111833,per box (invoice),Lettuce Cos Baby Twin Pack
fresh-fruit-team:LCBTPEA,2026-07-18,2.7500,ea,stowaway,INB00111714,per ea (invoice),Lettuce Cos Baby Twin Pack
fresh-fruit-team:LREA,2026-07-18,6.0500,ea,stowaway,INB00111714,per ea (invoice),Lettuce Radicchio
fresh-fruit-team:LREA,2026-07-20,6.0500,ea,stowaway,INB00111833,per ea (invoice),Lettuce Radicchio
fresh-fruit-team:OSKG,2026-07-18,0.002420,g,stowaway,INB00111714,per kg (invoice),Onion Spanish
fresh-fruit-team:OSKG,2026-07-20,0.002420,g,stowaway,INB00111833,per kg (invoice),Onion Spanish
fresh-fruit-team:PJEA,2026-07-16,2.3000,ea,stowaway,INB00111435,per ea (invoice),Pumpkin Jap
fresh-fruit-team:POTCOBX,2026-07-20,49.5000,box,stowaway,INB00111833,per box (invoice),Potato Cocktail (Box)
fresh-fruit-team:TCPUN,2026-07-16,1.7600,punnet,stowaway,INB00111435,per punnet (invoice),Tomatoes Cherry
gulli:MANFLOPIZ-U,2026-07-13,0.001104,g,stowaway,CI-424608,12.5kg,Manildra- Gem West Pizza Flour 12.5kg
gulli:MOZZARELLA2KG-UC4,2026-07-13,0.010500,g,stowaway,CI-424608,2kg,Big Cheese- Shredded Mozzarella 2kg
gulli:VEGD004-UC10,2026-07-13,0.018000,g,stowaway,CI-424608,500g,Dairy-Free (Vegan) Shredded Mozzarella 500g
ilg:115-3762,2026-07-14,2.5712,can,stowaway,03729959,can,CORONA MEXICAN 6PK BRW BX R
ilg:117-4213,2026-07-14,2.6700,can,stowaway,03729959,can,HEAPS NORMAL QUIET XPA NON ALC
ilg:122-2858,2026-07-14,212.4400,keg,stowaway,03729959,keg,ALEHOUSE PREMIUM KEG
ilg:122-2867,2026-07-14,184.9400,keg,stowaway,03729959,keg,ALEHOUSE CRISP KEG
ilg:175-0420,2026-07-14,64.2700,bottle,stowaway,03729959,bottle,ANTICA FORMULA
ilg:305-1949P,2026-07-14,53.6100,bottle,stowaway,03729959,bottle,BUFFALO TRACE BOURBON 40%
ilg:345-5638P,2026-07-14,44.7200,bottle,stowaway,03729959,bottle,SAILOR JERRY SPICED RUM
ilg:360-1310,2026-07-14,51.6611,bottle,stowaway,03729959,bottle,ROOSTER ROJO TEQUILA BLANCO
ilg:395-6785P,2026-07-14,29.0817,bottle,stowaway,03729959,bottle,APEROL
ilg:460-2567,2026-07-14,1.8900,can,stowaway,03729959,can,COCA COLA CAN CUBES
ilg:460-3254,2026-07-14,1.8896,can,stowaway,03729959,can,SPRITE 375ML 24 CUBE
jun-pacific:HA8204606,2026-07-16,0.009450,g,stowaway,NB10521714,per kg (invoice),"""S&B"" EX (Mild) Torokeru Curry Flake 20/1kg"
jun-pacific:HA8204612,2026-07-16,0.012100,g,stowaway,NB10521714,per kg (invoice),"""S&B"" EX Golden Curry Mid Hot 10/1kg"
lion:1200769,2026-07-14,416.5800,keg,stowaway,94755729,keg,Guinness 49.5L KEG
lion:1254690,2026-07-14,441.5400,keg,stowaway,94755729,keg,Kirin Ichb 5% 49.5L KEG
lion:1256672,2026-07-14,383.2350,keg,stowaway,94755729,keg,S & W Pacific Ale 49.5L KEG
nelson:HANVSPA,2026-07-13,8.8333,bottle,stowaway,20039352,bottle,NV VERSION TWO BRUT CUVEE
nelson:KU25SAB,2026-07-13,14.5742,bottle,stowaway,20039352,bottle,25 KUKU SAUV BLANC
paramount:10015926,2026-07-14,23.1700,bottle,stowaway,5441124,bottle,CARPANO CLASSICO VERMOUTH : 750ml
paramount:10015926,2026-07-14,23.1700,bottle,stowaway,5441124,bottle,CARPANO CLASSICO VERMOUTH : 750ml
paramount:44583,2026-07-14,0.003726,ml,stowaway,5441124,15l,DE BORTOLI GOLD SEAL SPECIAL DRY RED 15L
paramount:44583,2026-07-14,0.003726,ml,stowaway,5441124,15l,DE BORTOLI GOLD SEAL SPECIAL DRY RED 15L
paramount:98541,2026-07-14,0.003412,ml,stowaway,5441124,1250ml,SPRITE PET : 1250 ml
paramount:98541,2026-07-14,0.003412,ml,stowaway,5441124,1250ml,SPRITE PET : 1250 ml
select-fresh:CARK,2026-07-15,0.002400,g,harry_gatos,3084903,per kg (invoice),CARROT KG
select-fresh:CHLR,2026-07-22,0.013500,g,harry_gatos,3092061,per kg (invoice),CHILLI RED LONG KG
select-fresh:CHOI,2026-07-15,2.2000,bunch,harry_gatos,3084903,bch,CHOI SUM BCH
select-fresh:CHOI,2026-07-22,2.2000,bunch,harry_gatos,3092061,bch,CHOI SUM BCH
select-fresh:EG700P,2026-07-22,0.008286,g,harry_gatos,3092061,700gm,EGG 700GM PACK (DOZ)
select-fresh:HCHI,2026-07-15,2.3000,bunch,harry_gatos,3084903,bch,HERB CHIVES BCH
select-fresh:HCHI,2026-07-22,2.7000,bunch,harry_gatos,3092061,bch,HERB CHIVES BCH
select-fresh:LEMK,2026-07-15,0.003600,g,harry_gatos,3084903,per kg (invoice),LEMON KG
select-fresh:ONIBK,2026-07-15,0.002400,g,harry_gatos,3084903,per kg (invoice),ONION BROWN KG
select-fresh:ONIBK,2026-07-22,0.002400,g,harry_gatos,3092061,per kg (invoice),ONION BROWN KG
select-fresh:PGAR,2026-07-15,0.005800,g,harry_gatos,3084903,per kg (invoice),PROCESS GARLIC PEELED KG
select-fresh:PRPOTP,2026-07-15,0.003800,g,harry_gatos,3084903,per kg (invoice),POTATO PEELED PROCESSING KG
select-fresh:PRPOTP,2026-07-22,0.003800,g,harry_gatos,3092061,per kg (invoice),POTATO PEELED PROCESSING KG
select-fresh:SHAL,2026-07-15,3.0000,bunch,harry_gatos,3084903,bch,SHALLOT BCH
select-fresh:SHAL,2026-07-22,3.0000,bunch,harry_gatos,3092061,bch,SHALLOT BCH
select-fresh:TBUS100,2026-07-15,0.165000,g,harry_gatos,3084903,100gm,TOMATO BUSH POWDER 100GM
select-fresh:XCAUFL,2026-07-22,0.006000,g,harry_gatos,3092061,per kg (invoice),CAULIFLOWER FLORETS
select-fresh:XCSIMIX,2026-07-15,0.004800,g,harry_gatos,3084903,per kg (invoice),CABBAGE RED/GRN SHRD MIX KG
select-fresh:XDCAR05,2026-07-15,0.003100,g,harry_gatos,3084903,per kg (invoice),CARROT DICED 5MM KG
select-fresh:XDCAR05,2026-07-22,0.003100,g,harry_gatos,3092061,per kg (invoice),CARROT DICED 5MM KG
select-fresh:XSHRCAB,2026-07-15,0.004200,g,harry_gatos,3084903,per kg (invoice),CABBAGE GREEN SHREDDED
select-fresh:XSHRCAB,2026-07-22,0.004200,g,harry_gatos,3092061,per kg (invoice),CABBAGE GREEN SHREDDED
select-fresh:XSHRCAR,2026-07-15,0.002800,g,harry_gatos,3084903,per kg (invoice),CARROT SHREDDED
select-fresh:XSHRCAR,2026-07-22,0.002800,g,harry_gatos,3092061,per kg (invoice),CARROT SHREDDED
viticult:ARWLC24,2026-07-13,37.6983,bottle,stowaway,INV-02634,bottle,A Rodda Willow Lake Chard 2024
viticult:ECPM24,2026-07-13,19.3324,bottle,stowaway,INV-02634,bottle,Padrillos Malbec 24
