date,revenue_ex_gst,cogs_dollars,cogs_pct,wages_dollars,wages_pct,delivery_dollars,delivery_pct,gp_dollars,gp_pct,cogs_alert,wages_alert,delivery_alert,gp_alert,food_ex_gst,bev_ex_gst,food_cogs,bev_cogs,food_cogs_pct,bev_cogs_pct,food_gp_pct,bev_gp_pct,wages_kitchen_dollars,wages_foh_dollars,wages_driver_dollars,wages_admin_dollars,wages_assumed_dollars,wages_assumed_shifts,wages_kitchen_pct,wages_foh_pct,cogs_food_alert,cogs_bev_alert,wages_kitchen_alert,wages_foh_alert,uber_eats_revenue,uber_direct_dollars,leave_dollars
2024-10-22,,,,27.09,,,,,,,,,,,,,,,,,,0,0,0,27.09,,0,,,,,,,,,
2024-10-23,,,,54.18,,,,,,,,,,,,,,,,,,0,0,0,54.18,,0,,,,,,,,,
2024-10-24,,,,86.35,,,,,,,,,,,,,,,,,,0,0,0,86.35,,0,,,,,,,,,
2024-10-30,,,,72.17,,,,,,,,,,,,,,,,,,0,0,0,72.17,,0,,,,,,,,,
2024-10-31,,,,95.45,,,,,,,,,,,,,,,,,,0,0,0,95.45,,0,,,,,,,,,
2024-11-06,1.73,0.0,0.0,0,0.0,,,1.73,100.0,green,unknown,n/a,unknown,0.0,1.73,0.0,0.0,,0.0,,100.0,0,0,0,0,,0,,0.0,unknown,green,unknown,unknown,0,,
2024-11-11,184.55,49.0,26.6,0,0.0,,,135.55,73.4,green,unknown,n/a,unknown,0.0,184.55,0.0,49.0,,26.6,,73.4,0,0,0,0,,0,,0.0,unknown,amber,unknown,unknown,0,,
2024-11-13,633.5,39.52,6.2,655.55,103.5,,,593.98,93.8,green,unknown,n/a,unknown,451.15,182.35,0.0,39.52,0.0,21.7,100.0,78.3,655.55,0,0,0,655.55,0,145.3,0.0,green,green,unknown,unknown,0,,
2024-11-14,8.18,0.0,0.0,509.87,6233.1,,,8.18,100.0,green,unknown,n/a,unknown,0.0,8.18,0.0,0.0,,0.0,,100.0,509.87,0,0,0,509.87,0,,0.0,unknown,green,unknown,unknown,0,,
2024-11-15,1908.38,58.98,3.1,728.39,38.2,,,1849.4,96.9,green,unknown,n/a,unknown,1087.57,820.81,0.0,58.98,0.0,7.2,100.0,92.8,728.39,0,0,0,728.39,0,67.0,0.0,green,green,unknown,unknown,0,,
2024-11-16,4889.94,195.65,4.0,0,0.0,,,4694.29,96.0,green,unknown,n/a,unknown,2374.74,2515.2,0.0,195.65,0.0,7.8,100.0,92.2,0,0,0,0,,0,0.0,0.0,green,green,unknown,unknown,0,,
2024-11-17,3239.03,82.29,2.5,0,0.0,,,3156.74,97.5,green,unknown,n/a,unknown,1680.55,1558.48,0.0,82.29,0.0,5.3,100.0,94.7,0,0,0,0,,0,0.0,0.0,green,green,unknown,unknown,0,,
2024-11-19,,,,65.73,,,,,,,,,,,,,,,,,,0,0,0,65.73,,0,,,,,,,,,
2024-11-20,1886.54,47.05,2.5,2049.04,108.6,,,1839.49,97.5,green,unknown,n/a,unknown,1259.51,627.03,0.0,47.05,0.0,7.5,100.0,92.5,970.87,1078.17,0,0,2049.04,0,77.1,171.9,green,green,unknown,unknown,0,,
2024-11-21,3190.45,242.84,7.6,1589.49,49.8,,,2947.61,92.4,green,unknown,n/a,unknown,1807.6,1382.85,0.0,242.84,0.0,17.6,100.0,82.4,837.78,751.72,0,0,1589.49,0,46.3,54.4,green,green,unknown,unknown,0,,
