Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Online Surcharge,13,$9.75,$0.00,$0.00,11%,1%,0%
Online Discount,9,-$102.50,$0.00,$0.00,8%,-7%,0%
Garlic Bread,7,$25.00,$2.26,$9.94,6%,2%,60%
"Regular No Chorizo, No Cry",5,$115.00,$10.45,$14.56,4%,7%,87%
Large Pepperoni,4,$88.00,$8.01,$18.26,3%,6%,79%
Large Meatlovers,3,$28.00,$2.55,$21.75,3%,2%,22%
Regular Hail Africa,3,$48.00,$4.36,$8.74,3%,3%,82%
Regular Little Italy,3,$75.00,$6.81,$14.41,3%,5%,81%
Large Margherita,3,$63.00,$5.73,$6.89,3%,4%,89%
Coke Zero Can,3,$12.00,$1.08,$5.67,3%,1%,53%
Large Super House Special,3,$89.00,$8.10,$22.14,3%,6%,75%
Choc  Brownie,2,$0.00,$0.00,$3.89,2%,0%,
Large Sanchez,2,$62.00,$5.64,$10.98,2%,4%,82%
Vegan Cheese [Pizza],2,$6.10,$0.55,$0.00,2%,0%,0%
Regular Margherita,2,$33.00,$3.00,$2.46,2%,2%,93%
Regular Hail Africa [Dine-in],2,$54.93,$4.99,$5.82,2%,4%,89%
Regular Uber Margherita [Dine-in],2,$47.52,$4.31,$6.39,2%,3%,87%
"Large No Chorizo, No Cry",2,$54.00,$4.90,$12.63,2%,3%,77%
Add Prawns,2,$7.00,$0.63,$0.00,2%,0%,0%
"Regular No Chorizo, No Cry [Dine-in]",2,$46.80,$4.25,$5.82,2%,3%,88%
Regular Hawaiian,2,$28.40,$2.58,$2.49,2%,2%,91%
Feast Deal Pizzas,2,$90.00,$8.18,$0.00,2%,6%,0%
Cheesy Garlic Bread,2,$12.00,$1.10,$3.55,2%,1%,70%
Regular Jimmy Jury [Dine-in],2,$49.49,$4.49,$6.67,2%,3%,87%
Regular Sorrento,2,$49.00,$4.45,$8.21,2%,3%,83%
WINGS DEAL,2,$60.00,$5.46,$0.00,2%,4%,0%
Garlic  Bread,2,$0.00,$0.00,$2.84,2%,0%,
Under the Bridge Pizza,1,$26.86,$2.45,$4.26,1%,2%,84%
Regular Truffalo Soldier [Dine-in],1,$26.85,$2.43,$3.27,1%,2%,88%
Regular El Patron,1,$23.00,$2.09,$3.64,1%,1%,84%
Sour Cream,1,$1.00,$0.09,$0.00,1%,0%,0%
Add Mushrooms,1,$1.50,$0.14,$0.00,1%,0%,0%
Large Sorrento,1,$27.00,$2.45,$7.17,1%,2%,73%
Large Hawaiian,1,$28.00,$2.55,$3.26,1%,2%,88%
Large Vegetarian,1,$20.00,$1.82,$4.11,1%,1%,79%
Add Jalapenos,1,$1.03,$0.09,$0.00,1%,0%,0%
Regular Meatlovers,1,$25.00,$2.27,$5.19,1%,2%,79%
Delivery Fee - Freshwater / Queenscliff,1,$5.00,$0.44,$0.00,1%,0%,0%
Coke Can,1,$3.20,$0.29,$1.89,1%,0%,41%
Regular El Patron [Dine-in],1,$26.84,$2.43,$3.64,1%,2%,86%
Regular Garlic Cheese Pizza,1,$9.00,$0.82,$1.39,1%,1%,85%
Large BBQ Chicken Pizza,1,$25.00,$2.27,$4.34,1%,2%,83%
Regular New Yorker,1,$23.00,$2.09,$3.59,1%,1%,84%
Large New Yorker,1,$30.00,$2.73,$5.01,1%,2%,83%
Add Basil,1,$1.00,$0.09,$0.00,1%,0%,0%
Large Hail Africa,1,$27.00,$2.45,$6.24,1%,2%,77%
Add Capsicum,1,$1.50,$0.14,$0.00,1%,0%,0%
Coke Zero 1.25L,1,$7.00,$0.64,$3.98,1%,0%,43%
Regular New Yorker [Dine-in],1,$24.79,$2.25,$3.59,1%,2%,86%
Coke 1.25L,1,$6.00,$0.55,$3.69,1%,0%,39%
Regular Tandoori Chicken,1,$21.00,$1.91,$2.36,1%,1%,89%
Delivery Fee - Curl Curl / Manly / Dee Why,1,$6.50,$0.59,$0.00,1%,0%,0%
Regular Cosmopolitan,1,$26.00,$2.36,$4.84,1%,2%,81%
Solo 1.25L,1,$7.00,$0.64,$3.59,1%,0%,49%
Axl Rose Pizza,1,$26.88,$2.44,$0.00,1%,2%,0%
Regular Little Italy [Dine-in],1,$26.90,$2.44,$4.80,1%,2%,82%
Regular BBQ Chicken Pizza,1,$21.00,$1.91,$3.11,1%,1%,85%
,118,"$1,555.34",$149.74,$281.09,100%,100%,82%
