"Position","Product Number","Product","Quantity","Percent of Quantity","Sale Amount","Percent of Sale Amount","Cost","Percent of Gross Profit"
1,"","Unlimited Dumplings",80,39,1819.2,61,560.82,69
2,"","Pepsi Max Glass",31,15,135,5,40.61,70
3,"","Lemonade Glass",10,5,40.5,1,0,100
4,"","Pepsi Glass",8,4,36,1,10.48,71
5,"","Classic Margarita",4,2,56,2,13.06,77
6,"","Negroni",4,2,61.2,2,19.06,69
7,"","Harry's Lager - Schooner",4,2,38,1,6.5,83
8,"","Tonkotsu",4,2,102,3,16.66,84
9,"","Sapporo - Schooner",4,2,40,1,12.61,68
10,"","Dragon Soda",3,1,27,1,0,100
11,"","Miso",3,1,73,2,0,100
12,"","Chicken",3,1,11.5,0,0,100
13,"","Yuzu Orange Soda",3,1,27,1,0,100
14,"","Apple Juice Glass",3,1,12,0,0,100
15,"","Harry's Lager - Pint",3,1,37.5,1,6.54,83
16,"","Heaps Normal Quiet XPA",3,1,31.5,1,7.78,75
17,"","Sapporo - 500ml",3,1,26.1,1,11.13,57
18,"","Bintang",2,1,22,1,5.46,75
19,"","Angas & Bremer Rosé - Regular",2,1,24,1,3.86,84
20,"","River Retreat Pinot Grigio - Regular",2,1,19,1,4.02,79
21,"","Mie Goreng",2,1,47,2,6.36,86
22,"","Kuku Sauv Blanc - Regular",2,1,26,1,5.2,80
23,"","Fried Rice",2,1,32.2,1,5.36,83
24,"","Trutta Streamside Shiraz - Large [HG]",2,1,50,2,12.03,76
25,"","Lemon Lime Bitters",2,1,9,0,0,100
26,"","Shredded Beef",1,0,26,1,0,100
27,"","Kids Unlimited Dumplings",1,0,12,0,0,100
28,"","Soda & Lime Glass",1,0,3,0,0,100
29,"","Crouching Tiger",1,0,0,0,4.02,0
30,"","Espresso Martini",1,0,12.6,0,2.93,77
31,"","Monteith's Apple Cider [HG]",1,0,11,0,0,100
32,"","Gado Gado",1,0,0,0,0,0
33,"","Duck Spring Roll",1,0,16,1,3.57,78
34,"","Asahi 3.5%",1,0,0,0,2.33,0
35,"","Coke Can",1,0,4,0,0,100
36,"","Mochi Trio",1,0,14,0,0,100
37,"","Padrillos Malbec - Regular",1,0,18,1,3.56,80
38,"","Virgin Margy",1,0,13,0,0,100
39,"","Margato",1,0,20,1,3.84,81
40,"","Popcorn Cauliflower",1,0,15,1,0.98,93
41,"","Devon's Prawn Toast",1,0,14.4,0,3.89,73
