Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
BBQ Meat Platter,11,$440.00,$40.04,$0.00,5%,13%,0%
Chicken,10,$36.20,$3.28,$0.00,5%,1%,0%
Fried Rice,9,$195.20,$17.74,$24.12,4%,6%,88%
Mie Goreng,8,$182.70,$16.58,$25.46,4%,6%,86%
Tonkotsu,7,$174.00,$15.84,$29.15,3%,5%,83%
Popcorn Cauliflower,7,$104.00,$9.43,$6.85,3%,3%,93%
Shredded Beef,6,$156.00,$14.16,$0.00,3%,5%,0%
Sapporo - 500ml,6,$84.00,$7.64,$22.80,3%,3%,73%
BBQ Pork Buns,6,$90.00,$8.16,$21.00,3%,3%,77%
Devon's Prawn Toast,6,$96.00,$8.70,$23.33,3%,3%,76%
1/2 Marinated Egg,6,$8.00,$0.72,$0.00,3%,0%,0%
Pepsi Max Glass,6,$27.00,$2.46,$7.86,3%,1%,71%
Chicken Karaage,6,$102.00,$9.30,$0.00,3%,3%,0%
Sapporo - Schooner,5,$65.00,$5.90,$16.15,2%,2%,75%
Gado Gado,5,$110.00,$10.00,$0.00,2%,3%,0%
Classic Margarita,5,$80.00,$7.27,$16.32,2%,2%,80%
Dumplings - Veg Gyoza,5,$70.00,$6.35,$9.81,2%,2%,86%
Pepsi Glass,4,$18.00,$1.64,$5.24,2%,1%,71%
Margato,4,$80.00,$7.28,$15.38,2%,2%,81%
Dumplings - Prawn Har Gow [GF],4,$76.00,$6.92,$17.65,2%,2%,77%
Duck Spring Roll,4,$48.00,$4.35,$14.29,2%,1%,70%
Chicken Katsu Curry,4,$109.00,$9.90,$11.43,2%,3%,90%
Fried Egg,3,$9.10,$0.83,$0.00,1%,0%,0%
Rice Pudding,3,$28.50,$2.58,$0.00,1%,1%,0%
River Retreat Pinot Grigio - Regular,3,$31.00,$2.82,$6.03,1%,1%,81%
Harry's Lager - Schooner,3,$23.50,$2.14,$5.01,1%,1%,79%
Miso,3,$87.00,$7.92,$0.00,1%,3%,0%
Dumplings - Beef & Cabbage,3,$42.00,$3.81,$4.42,1%,1%,89%
Lychee Martini,3,$57.00,$5.19,$9.42,1%,2%,83%
Shoyu,2,$58.00,$5.28,$0.00,1%,2%,0%
Edamame,2,$22.00,$2.00,$0.00,1%,1%,0%
Drunken Koi,2,$42.00,$3.82,$5.31,1%,1%,87%
Lemonade Glass,2,$9.00,$0.82,$0.00,1%,0%,0%
Chilli Bomb,2,$4.00,$0.36,$0.00,1%,0%,0%
Dragon Juice,2,$34.00,$3.10,$5.19,1%,1%,85%
Asahi 3.5%,2,$22.00,$2.00,$4.65,1%,1%,79%
Bintang,2,$22.00,$2.00,$5.46,1%,1%,75%
Harry's Lager - Pint,2,$25.00,$2.28,$4.48,1%,1%,82%
2 Glasses,2,$0.00,$0.00,$0.00,1%,0%,0%
Jasmine Rice,2,$10.00,$0.90,$0.00,1%,0%,0%
3 Glasses,1,$0.00,$0.00,$0.00,0%,0%,0%
Extra BBQ Pork,1,$15.00,$1.36,$0.00,0%,0%,0%
Jinro Strawberry - 360ml,1,$32.00,$2.91,$11.56,0%,1%,64%
Extra  Piece,1,$5.00,$0.45,$0.00,0%,0%,0%
Kuku Sauv Blanc - Regular,1,$13.00,$1.18,$2.60,0%,0%,80%
River Retreat Pinot Grigio - Bottle,1,$49.00,$4.45,$10.05,0%,1%,79%
Swap for Tofu [Make it Vegan],1,$0.00,$0.00,$0.00,0%,0%,0%
Palloncino Prosecco - Regular,1,$12.00,$1.09,$2.30,0%,0%,81%
Espresso Martini,1,$19.00,$1.73,$2.93,0%,1%,85%
Swap for Tofu,1,$0.00,$0.00,$0.00,0%,0%,0%
Bamboo Shoots,1,$2.00,$0.18,$0.00,0%,0%,0%
Mochi Trio,1,$13.00,$1.18,$0.00,0%,0%,0%
Vegetarian Spring Rolls,1,$14.00,$1.27,$1.65,0%,0%,88%
Angas & Bremer Rosé - Regular,1,$12.00,$1.09,$1.93,0%,0%,84%
Birdseye Chilli Marg,1,$21.00,$1.91,$3.26,0%,1%,84%
Geppetto Chardonnay - Bottle,1,$61.00,$5.55,$15.57,0%,2%,74%
Apple Juice Glass,1,$4.00,$0.36,$0.00,0%,0%,0%
Padrillos Malbec - Regular,1,$18.00,$1.64,$3.56,0%,1%,80%
Two Bays GF Rice Lager Can [HG],1,$14.00,$1.27,$4.99,0%,0%,64%
Orange Juice Glass,1,$4.00,$0.36,$0.00,0%,0%,0%
Lemon Chu-hi,1,$12.00,$1.09,$1.52,0%,0%,87%
Carafe Sparkling Water,1,$5.00,$0.45,$0.00,0%,0%,0%
No Glasses Needed,1,$0.00,$0.00,$0.00,0%,0%,0%
Esoterico Orange - Regular,1,$15.00,$1.36,$2.69,0%,0%,82%
Aperol Spritz,1,$19.00,$1.73,$3.96,0%,1%,79%
Jinro Chamisul - 360ml,1,$32.00,$2.91,$12.55,0%,1%,61%
Tofu,1,$4.00,$0.36,$0.00,0%,0%,0%
Black Garlic Oil,1,$0.00,$0.00,$0.00,0%,0%,0%
L'esprit Rosé - Regular,1,$16.00,$1.45,$3.60,0%,0%,78%
Black Mushroom,1,$2.00,$0.18,$0.00,0%,0%,0%
Corona,1,$11.00,$1.00,$2.66,0%,0%,76%
Yuzu Orange Soda,1,$9.00,$0.82,$0.00,0%,0%,0%
,209,"$3,310.20",$300.84,$404.17,100%,100%,88%
