Position,Product Number,Product,Quantity,Percent of Quantity,Sale Amount,Percent of Sale Amount,Cost,Percent of Gross Profit
18,,Online Surcharge,6,1,7.3,0,0,100
20,,Regular New Yorker [Dine-in],6,1,147.17,2,21.52,85
22,,Large Pepperoni,6,1,160,2,27.39,83
23,,Garlic Bread,6,1,16.67,0,8.52,49
41,,Cheesy Garlic Bread,4,1,28.2,0,7.09,75
47,,Coke 1.25L,3,1,21,0,11.07,47
50,,Regular El Patron [Dine-in],3,1,80.57,1,10.92,86
51,,Gluten-free Base,3,1,15.49,0,12.3,21
57,,Large Meatlovers,3,1,28,0,21.75,22
62,,Add Pepperoni,3,1,9,0,0,100
64,,WINGS DEAL,3,1,90,1,0,100
65,,Regular Margherita,3,1,49.54,1,3.69,93
66,,Regular Pepperoni,3,1,66,1,6.38,90
67,,Regular Cosmopolitan,3,1,73,1,14.52,80
68,,Large Super House Special,3,1,59,1,22.14,62
72,,Add Garlic,2,0,3,0,0,100
80,,Regular Uber Margherita [Dine-in],2,0,47.52,1,6.39,87
82,,Add Anchovies,2,0,4.07,0,0,100
83,,Regular Garlic Cheese Pizza,2,0,18,0,2.78,85
90,,Regular Super House Special,2,0,48,1,10.57,78
93,,Add Pesto Base,2,0,3,0,0,100
95,,Regular Jimmy Jury [Dine-in],2,0,54.89,1,6.67,88
96,,Add Mushrooms,2,0,3,0,0,100
100,,Regular Hail Africa [Dine-in],2,0,55.77,1,5.82,90
106,,"Regular No Chorizo, No Cry [Dine-in]",2,0,52,1,5.82,89
108,,Regular Little Italy [Dine-in],2,0,52.86,1,9.61,82
112,,Regular Tandoori Chicken,1,0,24,0,2.36,90
116,,Regular Hawaiian [Dine-in],1,0,21,0,1.25,94
117,,Regular Jimmy Jury,1,0,23.77,0,3.34,86
119,,Regular El Patron,1,0,23,0,3.64,84
121,,BBQ Wings [Wings Deal],1,0,0,0,0,0
123,,Large Little Italy,1,0,27,0,8.58,68
130,,Regular Vegetarian,1,0,16,0,2.37,85
131,,Add Bacon,1,0,4.13,0,0,100
135,,Large New Yorker,1,0,0,0,5.01,0
138,,Regular Meatlovers,1,0,21.7,0,5.19,76
140,,Axl Rose Pizza,1,0,26.86,0,0,100
143,,Add Spanish Onion,1,0,1.5,0,0,100
147,,Regular Sanchez VEGAN [Dine-in],1,0,26.85,0,3.02,89
148,,Sprite Can,1,0,4,0,1.47,63
165,,Regular Margherita [Dine-in],1,0,21,0,1.23,94
168,,Regular No Chorizo No Cry Solo Combo,1,0,25,0,2.91,88
171,,Delivery Fee - Freshwater / Queenscliff,1,0,5,0,0,100
172,,Delivery Fee - Curl Curl / Manly / Dee Why,1,0,6.5,0,0,100
174,,Large Hawaiian,1,0,0,0,3.26,0
175,,Regular Little Italy,1,0,23,0,4.8,79
179,,Regular Roma Special,1,0,24,0,4.45,81
180,,$45 FEAST,1,0,45,1,0,100
181,,Garlic  Bread.,1,0,0,0,0,0
183,,Large El Patron,1,0,31,0,5.85,81
185,,Large Vegetarian,1,0,20,0,4.11,79
188,,Large Bubba Gump Wings Deal,1,0,30,0,5.8,81
189,,Large Sanchez VEGAN,1,0,27,0,4.22,84
191,,Large Margherita,1,0,20,0,2.3,89
192,,Large Cosmopolitan,1,0,25,0,6.76,73
196,,Add Bocconcini,1,0,3,0,0,100
198,,Regular Hawaiian,1,0,22,0,1.25,94
