Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Large Super House Special,5,$89.00,$8.10,$36.90,12%,10%,59%
Regular Super House Special,3,$72.00,$6.54,$15.85,7%,8%,78%
Large Sanchez,3,$89.00,$8.09,$16.47,7%,10%,81%
Regular Hawaiian,2,$38.00,$3.45,$2.49,5%,4%,93%
Axl Rose Pizza,2,$37.18,$3.39,$0.00,5%,4%,0%
Large Hawaiian,2,$48.00,$4.37,$6.53,5%,6%,86%
Large Jimmy Jury,1,$27.00,$2.45,$6.19,2%,3%,77%
Large Pepperoni,1,$0.00,$0.00,$4.56,2%,0%,
Regular Roma Special,1,$0.00,$0.00,$4.45,2%,0%,
Coke 1.25L,1,$7.00,$0.64,$3.69,2%,1%,47%
Regular BBQ Chicken Pizza,1,$24.50,$2.23,$3.11,2%,3%,87%
Regular Meatlovers,1,$25.00,$2.27,$5.19,2%,3%,79%
Gluten-free Super House Special,1,$30.00,$2.73,$9.38,2%,3%,69%
Gluten-free Meatlovers,1,$31.00,$2.82,$9.29,2%,4%,70%
Coke Zero Can,1,$4.00,$0.36,$1.89,2%,0%,53%
Large Sorrento,1,$27.00,$2.45,$7.17,2%,3%,73%
Large Bubba Gump,1,$32.00,$2.91,$5.80,2%,4%,82%
Regular Garlic Cheese Pizza,1,$9.00,$0.82,$1.39,2%,1%,85%
Large Tandoori Chicken,1,$25.00,$2.27,$3.30,2%,3%,87%
Large Margherita,1,$23.00,$2.09,$2.30,2%,3%,90%
Coke Zero 1.25L,1,$0.00,$0.00,$4.27,2%,0%,
Banquet Deal Pizzas,1,$60.00,$5.45,$0.00,2%,7%,0%
.Garlic Bread,1,$0.00,$0.00,$1.42,2%,0%,
.1.25L Coke,1,$0.00,$0.00,$3.69,2%,0%,
$60 BANQUET,1,$60.00,$5.45,$0.00,2%,7%,0%
Large BBQ Chicken Pizza,1,$0.00,$0.00,$4.34,2%,0%,
Regular New Yorker,1,$24.00,$2.18,$3.59,2%,3%,85%
Regular Vegetarian,1,$21.00,$1.91,$2.37,2%,2%,89%
Large Little Italy,1,$0.00,$0.00,$8.58,2%,0%,
$45 FEAST,1,$45.00,$4.09,$0.00,2%,5%,0%
Regular Margherita,1,$16.00,$1.45,$1.23,2%,2%,92%
,42,$863.68,$78.51,$175.46,100%,100%,80%
