Position,Product Number,Product,Quantity,Percent of Quantity,Sale Amount,Percent of Sale Amount,Cost,Percent of Gross Profit
1,,Beef Roast,62,9,2004.9,17,353.21,82
2,,Mulled Wine,35,5,547.2,5,72.45,87
3,,Fresh is Best Lager - Schooner,29,4,292.88,3,53.06,82
4,,Chicken Roast,20,3,670.8,6,91.77,86
5,,Guinness Draught - Pint,19,3,365.75,3,89.53,76
6,,Cauliflower Cheese,17,2,122.48,1,1.15,99
7,,Nut Roast,15,2,497.09,4,80.05,84
8,,Stone & Wood - Schooner,15,2,214.5,2,48.59,77
9,,Extra Gravy,12,2,24.69,0,4.04,84
10,,Fresh is Best Summer Lager - Pint,11,2,140.32,1,23.43,83
11,,Fresh is Best Lager - Pint,11,2,151.23,1,26.99,82
12,,Stone & Wood - Pint,10,1,179.52,2,43.45,76
13,,"Lemon, Lime & Bitters",10,1,56.27,0,0,100
14,,Extra Yorkshire Pudding,9,1,20.15,0,0,100
15,,Brownie D,8,1,0,0,15.58,0
16,,Villa Fresco Sangiovese - Regular,8,1,106.03,1,19.32,82
17,,Pepsi Max Glass,8,1,39.76,0,0,100
18,,Virgin Margy,7,1,100.57,1,0,100
19,,Garlic Bread,7,1,43.5,0,9.94,77
20,,Rosemary Salted Fries,6,1,87.47,1,11.13,87
21,,Extra Veg,6,1,19.69,0,0,100
22,,Large Hawaiian,6,1,156,1,19.58,87
23,,Ottelia Chardonnay - Regular,6,1,105.6,1,20.75,80
24,,Espresso Martini,6,1,132,1,19.41,85
25,,Lemonade Glass,6,1,29.7,0,0,100
26,,Side Aioli,6,1,3.29,0,0,100
27,,Regular Margherita,5,1,86.2,1,6.15,93
28,,Version Two Pinot Grigio - Regular,5,1,66,1,8.83,87
29,,Large Margherita,5,1,113,1,11.48,90
30,,Heaps Normal Tin,5,1,60.89,1,13.35,78
31,,Peroni,5,1,58.13,0,12.8,78
32,,Grifter Pale - Schooner,5,1,58.19,0,12.41,79
33,,Geppetto Pinot Noir - Regular,5,1,82.5,1,17.67,79
34,,Online Surcharge,4,1,4.37,0,0,100
35,,Classic Margarita,4,1,88,1,16.54,81
36,,Cheesy Garlic Bread,4,1,32,0,7.09,78
37,,Negroni,4,1,96.8,1,15.46,84
38,,Philter XPA - Pint,4,1,67.08,1,12.27,82
39,,Jalapeño Marg,4,1,101.2,1,3.04,97
40,,Side Tomato Sauce,4,1,0,0,0,0
41,,Buffalo Wings,4,1,74.43,1,15.61,79
42,,Sensei Calamari,4,1,88.62,1,9.22,90
43,,Grifter Pale - Pint,4,1,58.41,1,13.32,77
44,,Chicken Shindig Burger,4,1,101.58,1,19.07,81
45,,Status Quo - Schooner,3.7,1,55.93,0,11.35,80
46,,Baked Camembert,3,0,83.95,1,0,100
47,,Veuve Clicquot Yellow Label - Glass,3,0,118.8,1,48.46,59
48,,Regular Cosmopolitan,3,0,72.2,1,14.52,80
49,,Whispering Angel Rosé - Regular,3,0,92.4,1,19.65,79
50,,Petits Detours Rosé - Regular,3,0,52.8,0,10.6,80
51,,Add Mushrooms,3,0,4.95,0,0,100
52,,Delivery Fee - Freshwater / Queenscliff,3,0,16.5,0,0,100
53,,Add Pepperoni,3,0,9.9,0,0,100
54,,Philter XPA - Schooner,3,0,38.37,0,6.84,82
55,,Ottelia Cab Sav - Regular,3,0,56.1,0,13.82,75
56,,Fish Tacos,3,0,67.44,1,6.55,90
57,,Coke Zero Can,3,0,12.4,0,5.67,54
58,,Kirin - Schooner,3,0,46.71,0,11.34,76
59,,Sweet Potato Fries,3,0,43.36,0,7.58,83
60,,Large Roma Special,3,0,90,1,18.66,79
61,,Fresh Lime Soda,3,0,11.55,0,0,100
62,,Pepsi Glass,3,0,15.01,0,0,100
63,,Pink Lemonade Glass,3,0,15.01,0,0.41,97
64,,American Standard Burger,3,0,86.78,1,17.53,80
65,,Brownie,2,0,27.26,0,5.65,79
66,,Lepinja Bread,2,0,22.72,0,0,100
67,,Limoncello Spritz,2,0,46.2,0,10.65,77
68,,Arancini Balls [5pc],2,0,49.76,0,0,100
69,,Add Prawns,2,0,8.8,0,0,100
70,,Villa Fresco Sangiovese - Bottle,2,0,111.34,1,24.19,78
71,,Status Quo - Pint,2,0,38.5,0,8.23,79
72,,No Pineapple,2,0,0,0,0,0
73,,Stow Schnitty,2,0,61.12,1,10.65,83
74,,Online Discount,2,0,-25.85,-0,0,-100
75,,Side BBQ Sauce,2,0,0,0,0,0
76,,No Sugar,2,0,0,0,0,0
77,,Large Bubba Gump,2,0,59.5,1,11.6,81
78,,Version Two Pinot Grigio - Large,2,0,41.8,0,5.89,86
79,,Regular Jimmy Jury,2,0,48,0,6.67,86
80,,Regular Little Italy [Dine-in],2,0,58.13,0,9.61,83
81,,Under the Bridge Pizza,2,0,59.09,1,8.51,86
82,,Fancy Pants Parmy - Classic,2,0,64.85,1,16.21,75
83,,Large Sorrento,2,0,59.4,1,14.34,76
84,,Monkey Shoulder Scotch [House],2,0,16.94,0,0,100
85,,Trentham Estate Rosé - Regular,2,0,26.83,0,4.22,84
86,,Regular Hawaiian,2,0,44,0,2.49,94
87,,Add Bacon,2,0,6.16,0,0,100
88,,On The Rocks,2,0,0,0,0,0
89,,Large Pepperoni,2,0,50,0,9.13,82
90,,Add Chilli,2,0,2.2,0,0,100
91,,Tommy's Margarita,2,0,52.26,0,10.28,80
92,,Little Dragon Can,2,0,27.95,0,7.07,75
93,,Large Meatlovers,2,0,61.8,1,14.5,77
94,,Large Super House Special,2,0,61.9,1,14.76,76
95,,A. Rodda Chardonnay - Regular,2,0,61.6,1,12.33,80
96,,Ottelia Cab Sav - Bottle,2,0,154,1,46.08,70
97,,BBQ Wings,2,0,37.79,0,6.28,83
98,,Stow Soda - Grapefruit,2,0,20.13,0,0.17,99
99,,White Light Pure Vodka [House],2,0,21.78,0,3.04,86
100,,Bang Bang Cauli,2,0,38.01,0,5.52,85
101,,Open Price,2,0,24.85,0,0,100
102,,Amalfi Olives,2,0,26.13,0,0,100
103,,Regular Uber Margherita,2,0,44,0,6.39,85
104,,Version Two Pinot Grigio - Bottle,1,0,53.9,0,8.83,84
105,,Add Vodka,1,0,5.68,0,0,100
106,,No Burger Sauce,1,0,0,0,0,0
107,,Regular Margherita [Dine-in],1,0,9.24,0,1.23,87
108,,No Pickle,1,0,0,0,0,0
109,,Ginger Ale,1,0,4.55,0,0,100
110,,Gluten-free Jimmy Jury,1,0,30.8,0,8.53,72
111,,Aperol Spritz,1,0,22.72,0,3.55,84
112,,Add Grilled Fish,1,0,9.09,0,0,100
113,,Regular Sanchez,1,0,25.3,0,3.39,87
114,,Swap Gravy for Aioli,1,0,0,0,0,0
115,,Regular Little Italy,1,0,25.3,0,4.8,81
116,,Add Anchovies,1,0,2.2,0,0,100
117,,Corona,1,0,11.93,0,2.58,78
118,,Bombay Dry [House],1,0,12.1,0,2.15,82
119,,Regular Jimmy Jury [Dine-in],1,0,30.68,0,3.34,89
120,,Kids Nuggets & Chips,1,0,14.3,0,2.25,84
121,,Regular Paddock,1,0,25,0,3.28,87
122,,Delivery Fee - Curl Curl / Manly / Dee Why,1,0,7.15,0,0,100
123,,Soda [mixer],1,0,0,0,0,0
124,,Regular Pepperoni,1,0,22,0,2.13,90
