Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Fresh is Best Lager - Schooner,13,$114.93,$10.42,$23.77,3%,2%,79%
Online Surcharge,13,$9.75,$0.00,$0.00,3%,0%,0%
Fresh is Best Lager - Pint,11,$121.25,$11.06,$26.97,2%,2%,78%
Version Two Pinot Grigio - Regular,10,$99.53,$9.03,$17.67,2%,2%,82%
Grifter Pale - Pint,9,$135.00,$12.24,$29.96,2%,2%,78%
Online Discount,9,-$102.50,$0.00,$0.00,2%,-2%,0%
Classic Margarita,9,$133.39,$12.08,$36.22,2%,2%,73%
Stone & Wood - Schooner,8,$104.43,$9.49,$25.97,2%,2%,75%
Rosemary Salted Fries,8,$105.33,$9.54,$14.84,2%,2%,86%
Garlic Bread,7,$25.00,$2.26,$9.94,1%,0%,60%
Grifter Pale - Schooner,7,$73.70,$6.73,$17.38,1%,1%,76%
Kirin - Schooner,6.7,$91.00,$8.26,$25.17,1%,2%,72%
Mulled Wine,6,$91.48,$8.28,$12.40,1%,2%,86%
Villa Fresco Sangiovese - Regular,6,$67.60,$6.14,$14.47,1%,1%,79%
Year Wines Fiano - Regular,6,$109.80,$10.00,$25.64,1%,2%,77%
Jalapeño Marg,6,$96.90,$8.84,$4.56,1%,2%,95%
Baked Camembert,6,$127.77,$11.58,$0.00,1%,2%,0%
Brownie D,5,$0.00,$0.00,$9.73,1%,0%,
Patron Silver Margarita,5,$123.96,$11.26,$24.99,1%,2%,80%
No Onion,5,$0.00,$0.00,$0.00,1%,0%,0%
"Regular No Chorizo, No Cry",5,$115.00,$10.45,$14.56,1%,2%,87%
Side Aioli,5,$2.56,$0.28,$0.00,1%,0%,0%
Sensei Calamari,5,$100.72,$9.15,$11.53,1%,2%,89%
Negroni,5,$75.98,$6.89,$19.47,1%,1%,74%
Large Pepperoni,4,$88.00,$8.01,$18.26,1%,1%,79%
Philter Red - Pint,4,$60.00,$5.44,$13.60,1%,1%,77%
Beef Burrito,4,$69.36,$6.31,$27.09,1%,1%,61%
Version Two Sparkling - Regular,4,$48.00,$4.36,$7.07,1%,1%,85%
Coconut Margarita,4,$70.26,$6.40,$16.41,1%,1%,77%
Petits Detours Rosé - Regular,4,$62.93,$5.71,$13.99,1%,1%,78%
Side Tomato Sauce,4,$0.00,$0.00,$0.00,1%,0%,0%
Guinness Draught - Pint,4,$52.50,$4.77,$18.87,1%,1%,64%
Fish Tacos,4,$82.63,$7.51,$8.74,1%,1%,89%
Fancy Pants Parmy - Classic,4,$119.81,$10.91,$32.42,1%,2%,73%
Buffalo Trace Bourbon [House],4,$39.60,$3.60,$9.17,1%,1%,77%
Padrillos Malbec - Regular,4,$73.18,$6.67,$15.47,1%,1%,79%
Buffalo Wings,3,$53.65,$4.88,$11.71,1%,1%,78%
Kuku Sauvignon Blanc - Regular,3,$40.60,$3.68,$8.74,1%,1%,78%
Regular Little Italy,3,$75.00,$6.81,$14.41,1%,1%,81%
Large Meatlovers,3,$28.00,$2.55,$21.75,1%,0%,22%
Mother's Milk Shiraz - Regular,3,$39.49,$3.58,$9.65,1%,1%,76%
Easy Sauce,3,$0.00,$0.00,$0.00,1%,0%,0%
Pie,3,$67.98,$6.17,$0.00,1%,1%,0%
Large Super House Special,3,$89.00,$8.10,$22.14,1%,2%,75%
Large Margherita,3,$63.00,$5.73,$6.89,1%,1%,89%
Asahi 3.5%,3,$30.79,$2.78,$7.41,1%,1%,76%
Regular Hail Africa,3,$48.00,$4.36,$8.74,1%,1%,82%
BBQ Wings D,3,$16.00,$1.45,$9.42,1%,0%,41%
Corona,3,$29.40,$2.67,$7.73,1%,1%,74%
Fries D,3,$37.00,$3.36,$0.00,1%,1%,0%
On The Rocks,3,$0.00,$0.00,$0.00,1%,0%,0%
Coke Zero Can,3,$12.00,$1.08,$5.67,1%,0%,53%
Gluten-free [Corn Tortillas],3,$0.00,$0.00,$0.00,1%,0%,0%
Status Quo - Pint,3,$53.07,$4.82,$12.49,1%,1%,76%
Philter Red - Schooner,2.7,$28.60,$2.60,$6.84,1%,0%,76%
Regular Margherita,2,$33.00,$3.00,$2.46,0%,1%,93%
Chicken Burrito,2,$59.70,$5.44,$13.60,0%,1%,77%
Kirin - Pint,2,$37.00,$3.36,$10.08,0%,1%,73%
Regular Sorrento,2,$49.00,$4.45,$8.21,0%,1%,83%
"Large No Chorizo, No Cry",2,$54.00,$4.90,$12.63,0%,1%,77%
Side BBQ Sauce,2,$0.00,$0.00,$0.00,0%,0%,0%
Regular Hawaiian,2,$28.40,$2.58,$2.49,0%,0%,91%
White Light Pure Vodka [House],2,$18.70,$1.70,$3.04,0%,0%,84%
No Tomato,2,$0.00,$0.00,$0.00,0%,0%,0%
WINGS DEAL,2,$60.00,$5.46,$0.00,0%,1%,0%
Sweet Potato Fries,2,$26.86,$2.44,$5.06,0%,0%,81%
Garlic  Bread,2,$0.00,$0.00,$2.84,0%,0%,
Brownie,2,$24.81,$2.26,$5.65,0%,0%,77%
American Standard Burger,2,$54.67,$4.97,$11.69,0%,1%,79%
Orange,2,$0.00,$0.00,$0.00,0%,0%,0%
2x Aioli,2,$2.07,$0.18,$0.00,0%,0%,0%
Fresh Lime Soda,2,$7.22,$0.66,$0.00,0%,0%,0%
Bang Bang Cauli,2,$35.11,$3.20,$5.52,0%,1%,84%
Large Sanchez,2,$62.00,$5.64,$10.98,0%,1%,82%
Geppetto Pinot Noir - Regular,2,$30.98,$2.80,$7.02,0%,1%,77%
Chicken Shindig Burger,2,$55.56,$5.06,$9.53,0%,1%,83%
No Lettuce,2,$0.00,$0.00,$0.00,0%,0%,0%
Lepinja Bread,2,$20.32,$1.85,$0.00,0%,0%,0%
Petits Detours Rosé Mediterranee - Bottle,2,$128.00,$11.64,$32.64,0%,2%,75%
Trade Winds,2,$28.46,$2.58,$0.00,0%,0%,0%
No Salt,2,$0.00,$0.00,$0.00,0%,0%,0%
San Pellegrino 500ml,2,$18.00,$1.64,$4.66,0%,0%,74%
Feast Deal Pizzas,2,$90.00,$8.18,$0.00,0%,2%,0%
Make It A Burrito Bowl [gluten-free],2,$0.00,$0.00,$0.00,0%,0%,0%
"Regular No Chorizo, No Cry [Dine-in]",2,$46.80,$4.25,$5.82,0%,1%,88%
Apple Juice Glass,2,$10.34,$0.94,$1.32,0%,0%,87%
Side Guac,2,$2.03,$0.18,$0.00,0%,0%,0%
Tommy's Margarita,2,$35.11,$3.19,$9.95,0%,1%,72%
Regular Jimmy Jury [Dine-in],2,$49.49,$4.49,$6.67,0%,1%,87%
Fresh is Best Summer Lager - Pint,2,$24.00,$2.18,$4.26,0%,0%,82%
Vegan Cheese [Pizza],2,$6.10,$0.55,$0.00,0%,0%,0%
Pepsi Max Glass,2,$9.15,$0.84,$0.00,0%,0%,0%
Regular Uber Margherita [Dine-in],2,$47.52,$4.31,$6.39,0%,1%,87%
Sibiliana Nero D'Avola - Regular,2,$36.59,$3.34,$6.54,0%,1%,82%
Choc  Brownie,2,$0.00,$0.00,$3.89,0%,0%,
Add Prawns,2,$7.00,$0.63,$0.00,0%,0%,0%
Kuku Sauvignon Blanc - Large,2,$46.76,$4.25,$9.72,0%,1%,79%
Arancini Balls [5pc],2,$45.24,$4.12,$0.00,0%,1%,0%
Amalfi Olives,2,$23.78,$2.18,$0.00,0%,0%,0%
Status Quo - Schooner,2,$27.88,$2.54,$6.21,0%,0%,78%
Cheesy Garlic Bread,2,$12.00,$1.10,$3.55,0%,0%,70%
Ottelia Chardonnay - Regular,2,$32.53,$2.95,$6.92,0%,1%,79%
Regular Hail Africa [Dine-in],2,$54.93,$4.99,$5.82,0%,1%,89%
Under the Bridge Pizza,1,$26.86,$2.45,$4.26,0%,0%,84%
