"Position","Product Number","Product","Quantity","Percent of Quantity","Sale Amount","Percent of Sale Amount","Cost","Percent of Gross Profit"
1,"","Fresh is Best Lager - Schooner",18,4,157.55,3,32.9,79
2,"","Fresh is Best Lager - Pint",16,4,190.5,3,39.22,79
3,"","Classic Margarita",12,3,178.99,3,48.79,73
4,"","Philter XPA - Schooner",8,2,80.7,1,17.89,78
5,"","Buffalo Wings",8,2,132.38,2,31.22,76
6,"","Mulled Wine",8,2,120.49,2,16.41,86
7,"","Grifter Pale - Schooner",8,2,90.08,2,19.86,78
8,"","Guinness Draught - Pint",8,2,141.14,3,37.67,73
9,"","Side Blue Cheese Dip",8,2,7.55,0,0,100
10,"","Stone & Wood - Pint",6,1,102.56,2,26.13,75
11,"","Arancini Balls [5pc]",6,1,131.37,2,0,100
12,"","Grifter Pale - Pint",6,1,90.99,2,19.98,78
13,"","Jalapeño Marg",6,1,103.12,2,4.76,95
14,"","Kirin - Schooner",5,1,70,1,18.77,73
15,"","BBQ Wings D",5,1,48,1,15.71,67
16,"","Bang Bang Cauli",4,1,68.56,1,11.04,84
17,"","Rosemary Salted Fries",4,1,52.88,1,7.42,86
18,"","Soda [mixer]",4,1,0,0,0,0
19,"","Limoncello",4,1,48,1,8.53,82
20,"","Sensei Calamari",4,1,79.9,1,9.22,88
21,"","Stone & Wood - Schooner",4,1,51.12,1,12.99,75
22,"","Side Aioli",4,1,2.08,0,0,100
23,"","Petits Detours Rosé - Large",4,1,100,2,23.19,77
24,"","Version Two Pinot Grigio - Regular",4,1,43,1,7.07,84
25,"","American Standard Burger",4,1,109.36,2,23.38,79
26,"","Geppetto Pinot Noir - Regular",4,1,61.47,1,14.05,77
27,"","Negroni",4,1,60,1,15.48,74
28,"","Pepsi Glass",4,1,18,0,0,100
29,"","Garlic Bread",4,1,11.5,0,5.68,51
30,"","Mother's Milk Shiraz - Regular",3,1,45,1,9.65,79
31,"","Sweet Potato Fries D",3,1,41.7,1,7.58,82
32,"","Fresh is Best Summer Lager - Pint",3,1,30,1,6.39,79
33,"","Make It A Burrito Bowl [gluten-free]",3,1,0,0,0,0
34,"","Kirin - Pint",3,1,55.5,1,15.1,73
35,"","BBQ Wings",3,1,51.82,1,9.42,82
36,"","Sweet Potato Fries",3,1,40.29,1,7.58,81
37,"","Lime",3,1,0,0,0,0
38,"","Beef Burrito",3,1,89.55,2,20.31,77
39,"","Peroni 0%",3,1,27,0,5.56,79
40,"","Villa Fresco Sangiovese - Regular",3,1,34,1,7.24,79
41,"","Large Meatlovers",3,1,31,1,20.87,33
42,"","Online Surcharge",3,1,4.42,0,0,100
