Products Product Name,Products Reporting Group Name,Sales Data Sale Closed Week,Sales Data Total Ex Tax
Sweet Potato Fries,Small Plates,2026-06-29,24.03
One Ice Cube,Modifiers,2026-06-29,0
Rocket Man,Salads,2026-06-29,33.29
Large Pepperoni,Marilyna's Pizza,2026-06-29,43.63
Ginger Ale,Non-alcoholic,2026-06-29,11.16
Gluten-free Super House Special,Marilyna's Pizza,2026-06-29,27.27
A. Rodda Tempranillo - Regular,Red Wine,2026-06-29,32.72
Regular BBQ Chicken Pizza [Dine-in],Dine-in Pizza,2026-06-29,16.36
Ottelia Cab Sav - Large,Red Wine,2026-06-29,25.35
Regular Hawaiian [Dine-in],Dine-in Pizza,2026-06-29,32.72
Regular Super House Special,Marilyna's Pizza,2026-06-29,43.64
Regular The Paddock [Dine-in],Dine-in Pizza,2026-06-29,33.81
Add Fetta,Add-ons - Pizza,2026-06-29,5.46
Gluten-free Base,Marilyna's Pizza,2026-06-29,4.7
Regular Truffalo Soldier [Dine-in],Dine-in Pizza,2026-06-29,16.93
Garlic  Bread.,Marilyna's Pizza,2026-06-29,0
Regular Sanchez [Dine-in],Dine-in Pizza,2026-06-29,50.14
Kraken Dark & Stormy,Cocktails - Classic,2026-06-29,20.65
Delivery Fee - Curl Curl / Manly / Dee Why,Marilyna's Pizza,2026-06-29,5.91
Veg Spring Rolls,Harry Gatos Food,2026-06-29,28.18
Delivery Fee - Freshwater / Queenscliff,Marilyna's Pizza,2026-06-29,9.11
Baked Camembert,Small Plates,2026-06-29,23.4
Large Super House Special Wings Deal,Marilyna's Pizza,2026-06-29,27.27
Kuku Sauvignon Blanc - Regular,White Wine,2026-06-29,102.7
Jasmine Rice,Harry Gatos Food,2026-06-29,7.52
Version Two Pinot Grigio - Bottle,White Wine,2026-06-29,44.55
Side Blue Cheese Dip,Add-ons - Kitchen,2026-06-29,2.79
Version Two Sparkling - Regular,Sparkling Wine,2026-06-29,31.8
Ottelia Chardonnay - Regular,White Wine,2026-06-29,29.1
Flower Child,Cocktails - Signature,2026-06-29,20
Grifter Pale - Schooner,Tap Beer,2026-06-29,81.99
Rosemary Salted Fries,Small Plates,2026-06-29,23.46
Aperol Spritz,Cocktails - Classic,2026-06-29,25.46
Lychee Martini,Cocktails - Classic,2026-06-29,81.18
Classic Margarita,Cocktails - Classic,2026-06-29,43.64
Jack Daniels,Whisky,2026-06-29,43.64
"Lemon, Lime & Bitters",Non-alcoholic,2026-06-29,41.1
Seadrift Coast Non-alc G&T,Mocktails,2026-06-29,11.82
Fresh is Best Summer Lager - Schooner,Tap Beer,2026-06-29,70.66
Pink Lemonade Glass,Non-alcoholic,2026-06-29,24.81
Philter XPA - Schooner,Tap Beer,2026-06-29,20.9
Padrillos Malbec - Regular,Red Wine,2026-06-29,67.61
Philter XPA - Pint,Tap Beer,2026-06-29,55.91
Large Cosmopolitan,Marilyna's Pizza,2026-06-29,22.73
Sigurd GSM Red Blend - Regular,Red Wine,2026-06-29,73.92
Regular Meatlovers,Marilyna's Pizza,2026-06-29,22.73
A. Rodda Chardonnay - Regular,White Wine,2026-06-29,52.6
2 Glasses,Modifiers,2026-06-29,0
Garlic Bread,Marilyna's Pizza,2026-06-29,21.07
No Mushroom,None,2026-06-29,0
Regular Hawaiian,Marilyna's Pizza,2026-06-29,20
Add Mushrooms,Add-ons - Pizza,2026-06-29,1.36
Large Meatlovers,Marilyna's Pizza,2026-06-29,54.46
.Garlic Bread,Marilyna's Pizza,2026-06-29,0
Buffalo Wings,Small Plates,2026-06-29,48.25
Outback Prawn Toast,Harry Gatos Food,2026-06-29,15.03
Regular Super House Special [Dine-in],Dine-in Pizza,2026-06-29,33.26
Duck Spring Rolls,Harry Gatos Food,2026-06-29,44.12
Super House Special.,None,2026-06-29,0
BBQ Wings [Wings Deal],Marilyna's Pizza,2026-06-29,0
Banquet Deal Pizzas,Marilyna's Pizza,2026-06-29,54.55
Grifter Pale - Pint,Tap Beer,2026-06-29,13.64
Fried Rice,Harry Gatos Food,2026-06-29,85.71
Version Two Pinot Grigio - Regular,White Wine,2026-06-29,131.34
Tonkotsu,Harry Gatos Food,2026-06-29,52.72
Kuku Sauvignon Blanc D,Delivery Alcohol,2026-06-29,25.45
Side BBQ Sauce,Add-ons - Kitchen,2026-06-29,0
.1.25L Coke,Marilyna's Pizza,2026-06-29,0
Hot Chocolate,Non-alcoholic,2026-06-29,14.09
