date,revenue_ex_gst,cogs_dollars,cogs_pct,wages_dollars,wages_pct,delivery_dollars,delivery_pct,gp_dollars,gp_pct,cogs_alert,wages_alert,delivery_alert,gp_alert,food_ex_gst,bev_ex_gst,food_cogs,bev_cogs,food_cogs_pct,bev_cogs_pct,food_gp_pct,bev_gp_pct,wages_kitchen_dollars,wages_foh_dollars,wages_driver_dollars,wages_admin_dollars,wages_assumed_dollars,wages_assumed_shifts,wages_kitchen_pct,wages_foh_pct,cogs_food_alert,cogs_bev_alert,wages_kitchen_alert,wages_foh_alert,uber_eats_revenue,uber_direct_dollars,leave_dollars
2024-10-23,572.15,0.00,0.0,,,,,572.15,100.0,green,unknown,unknown,unknown,572.15,0.0,0.00,,0.0,,100.0,,,,,,,,,,unknown,unknown,unknown,unknown,0,,
2024-10-24,826.60,0.00,0.0,,,,,826.60,100.0,green,unknown,unknown,unknown,826.60,0.0,0.00,,0.0,,100.0,,,,,,,,,,unknown,unknown,unknown,unknown,0,,
2024-10-25,2442.26,0.00,0.0,,,,,2442.26,100.0,green,unknown,unknown,unknown,2442.26,0.0,0.00,,0.0,,100.0,,,,,,,,,,unknown,unknown,unknown,unknown,0,,
2024-10-26,2483.12,0.00,0.0,,,,,2483.12,100.0,green,unknown,unknown,unknown,2483.12,0.0,0.00,,0.0,,100.0,,,,,,,,,,unknown,unknown,unknown,unknown,0,,
2024-10-27,1183.56,0.00,0.0,,,,,1183.56,100.0,green,unknown,unknown,unknown,1183.56,0.0,0.00,,0.0,,100.0,,,,,,,,,,unknown,unknown,unknown,unknown,0,,
2024-10-29,692.53,0.00,0.0,,,,,692.53,100.0,green,unknown,unknown,unknown,692.53,0.0,0.00,,0.0,,100.0,,,,,,,,,,unknown,unknown,unknown,unknown,0,,
2024-10-30,1028.56,0.00,0.0,,,,,1028.56,100.0,green,unknown,unknown,unknown,1028.56,0.0,0.00,,0.0,,100.0,,,,,,,,,,unknown,unknown,unknown,unknown,0,,
2024-10-31,2570.52,0.00,0.0,,,,,2570.52,100.0,green,unknown,unknown,unknown,2570.52,0.0,0.00,,0.0,,100.0,,,,,,,,,,unknown,unknown,unknown,unknown,0,,
2024-11-01,2854.19,0.00,0.0,,,,,2854.19,100.0,green,unknown,unknown,unknown,2854.19,0.0,0.00,,0.0,,100.0,,,,,,,,,,unknown,unknown,unknown,unknown,0,,
2024-11-02,2866.75,0.00,0.0,,,,,2866.75,100.0,green,unknown,unknown,unknown,2866.75,0.0,0.00,,0.0,,100.0,,,,,,,,,,unknown,unknown,unknown,unknown,0,,
2024-11-03,2272.09,12.33,0.5,,,,,2259.76,99.5,green,unknown,unknown,unknown,2272.09,0.0,12.33,,0.5,,99.5,,,,,,,,,,unknown,unknown,unknown,unknown,0,,
2024-11-05,1347.36,4.85,0.4,,,,,1342.51,99.6,green,unknown,unknown,unknown,1347.36,0.0,4.85,,0.4,,99.6,,,,,,,,,,unknown,unknown,unknown,unknown,0,,
2024-11-06,872.88,6.26,0.7,,,,,866.62,99.3,green,unknown,unknown,unknown,872.88,0.0,6.26,,0.7,,99.3,,,,,,,,,,unknown,unknown,unknown,unknown,0,,
2024-11-07,1151.17,5.02,0.4,,,,,1146.15,99.6,green,unknown,unknown,unknown,1151.17,0.0,5.02,,0.4,,99.6,,,,,,,,,,unknown,unknown,unknown,unknown,0,,
2024-11-08,4616.77,25.87,0.6,,,,,4590.90,99.4,green,unknown,unknown,unknown,4616.77,0.0,25.87,,0.6,,99.4,,,,,,,,,,unknown,unknown,unknown,unknown,0,,
2024-11-09,3541.53,52.92,1.5,,,,,3488.61,98.5,green,unknown,unknown,unknown,3541.53,0.0,52.92,,1.5,,98.5,,,,,,,,,,unknown,unknown,unknown,unknown,0,,
2024-11-10,2340.00,5.47,0.2,,,,,2334.53,99.8,green,unknown,unknown,unknown,2340.00,0.0,5.47,,0.2,,99.8,,,,,,,,,,unknown,unknown,unknown,unknown,0,,
2024-11-12,803.77,23.03,2.9,,,,,780.74,97.1,green,unknown,unknown,unknown,803.77,0.0,23.03,,2.9,,97.1,,,,,,,,,,unknown,unknown,unknown,unknown,0,,
2024-11-13,1074.50,6.05,0.6,,,,,1068.45,99.4,green,unknown,unknown,unknown,1074.50,0.0,6.05,,0.6,,99.4,,,,,,,,,,unknown,unknown,unknown,unknown,0,,
2024-11-14,1532.83,33.35,2.2,,,,,1499.48,97.8,green,unknown,unknown,unknown,1532.83,0.0,33.35,,2.2,,97.8,,,,,,,,,,unknown,unknown,unknown,unknown,0,,
2024-11-15,3507.75,10.12,0.3,,,,,3497.63,99.7,green,unknown,unknown,unknown,3507.75,0.0,10.12,,0.3,,99.7,,,,,,,,,,unknown,unknown,unknown,unknown,0,,
2024-11-16,2956.35,9.49,0.3,,,,,2946.86,99.7,green,unknown,unknown,unknown,2956.35,0.0,9.49,,0.3,,99.7,,,,,,,,,,unknown,unknown,unknown,unknown,0,,
2024-11-17,1955.37,11.07,0.6,,,,,1944.30,99.4,green,unknown,unknown,unknown,1955.37,0.0,11.07,,0.6,,99.4,,,,,,,,,,unknown,unknown,unknown,unknown,0,,
2024-11-19,997.56,1.62,0.2,632.1,63.4,82.63,8.0,995.94,99.8,green,unknown,unknown,unknown,997.56,0.0,1.62,,0.2,,99.8,,549.47,0.0,82.63,0.0,,,55.1,,unknown,unknown,unknown,unknown,0,,
2024-11-20,1011.12,7.88,0.8,508.87,50.3,75.6,7.5,1003.24,99.2,green,unknown,unknown,unknown,1011.12,0.0,7.88,,0.8,,99.2,,433.27,0.0,75.6,0.0,,,42.9,,unknown,unknown,unknown,unknown,0,,
2024-11-21,1842.86,14.59,0.8,896.63,48.7,183.96,10.0,1828.27,99.2,green,unknown,unknown,unknown,1842.86,0.0,14.59,,0.8,,99.2,,712.67,0.0,183.96,0.0,,,38.7,,unknown,unknown,unknown,unknown,0,,
2024-11-22,4036.01,20.81,0.5,1180.55,29.3,293.29,7.2,4015.20,99.5,green,unknown,unknown,unknown,4036.01,0.0,20.81,,0.5,,99.5,,887.27,0.0,293.29,0.0,,,22.0,,unknown,unknown,unknown,unknown,0,,
2024-11-23,3073.11,19.62,0.6,1016.67,33.1,247.94,8.0,3053.49,99.4,green,unknown,unknown,unknown,3073.11,0.0,19.62,,0.6,,99.4,,768.74,0.0,247.94,0.0,,,25.0,,unknown,unknown,unknown,unknown,0,,
2024-11-24,2704.78,10.69,0.4,1785.37,66.0,339.9,12.5,2694.09,99.6,green,unknown,unknown,unknown,2704.78,0.0,10.69,,0.4,,99.6,,1445.47,0.0,339.9,0.0,,,53.4,,unknown,unknown,unknown,unknown,0,,
2024-11-26,1376.11,9.89,0.7,632.81,46.0,105.0,7.5,1366.22,99.3,green,unknown,unknown,unknown,1376.11,0.0,9.89,,0.7,,99.3,,527.81,0.0,105.0,0.0,,,38.4,,unknown,unknown,unknown,unknown,0,,
2024-11-27,1527.72,27.70,1.8,695.37,45.5,71.4,4.7,1500.02,98.2,green,unknown,unknown,unknown,1527.72,0.0,27.70,,1.8,,98.2,,623.97,0.0,71.4,0.0,,,40.8,,unknown,unknown,unknown,unknown,0,,
2024-11-28,1344.02,9.35,0.7,1048.96,78.0,176.4,13.1,1334.67,99.3,green,unknown,unknown,unknown,1344.02,0.0,9.35,,0.7,,99.3,,872.56,0.0,176.4,0.0,,,64.9,,unknown,unknown,unknown,unknown,0,,
2024-11-29,4220.19,33.45,0.8,1332.05,31.6,269.91,6.3,4186.74,99.2,green,unknown,unknown,unknown,4220.19,0.0,33.45,,0.8,,99.2,,1062.14,0.0,269.91,0.0,,,25.2,,unknown,unknown,unknown,unknown,0,,
2024-11-30,3259.27,31.44,1.0,1089.38,33.4,384.15,11.6,3227.83,99.0,green,unknown,unknown,unknown,3259.27,0.0,31.44,,1.0,,99.0,,705.23,0.0,384.15,0.0,,,21.6,,unknown,unknown,unknown,unknown,0,,
2024-12-01,2594.73,34.40,1.3,1089.37,42.0,300.41,11.6,2560.33,98.7,green,unknown,unknown,unknown,2594.73,0.0,34.40,,1.3,,98.7,,788.96,0.0,300.41,0.0,,,30.4,,unknown,unknown,unknown,unknown,0,,
2024-12-03,1392.01,31.18,2.2,609.29,43.8,81.28,5.8,1360.83,97.8,green,unknown,unknown,unknown,1392.01,0.0,31.18,,2.2,,97.8,,528.01,0.0,81.28,0.0,,,37.9,,unknown,unknown,unknown,unknown,0,,
2024-12-04,1442.22,7.73,0.5,684.57,47.5,80.64,5.6,1434.49,99.5,green,unknown,unknown,unknown,1442.22,0.0,7.73,,0.5,,99.5,,603.93,0.0,80.64,0.0,,,41.9,,unknown,unknown,unknown,unknown,0,,
