week_ending,venue,reporting_group,product_name,sales_ex_gst,qty
2025-06-01,hg,Add-ons - Kitchen,Open Food,46.74,0.0
2025-06-01,hg,Add-ons - Kitchen,Extra Yorkshire Pudding,34.59,0.0
2025-06-01,hg,Add-ons - Kitchen,Extra Gravy,27.99,0.0
2025-06-01,hg,Add-ons - Kitchen,Extra Veg,24.41,0.0
2025-06-01,hg,Add-ons - Kitchen,Swap Fries for Sweet Potato Fries,6.1,0.0
2025-06-01,hg,Add-ons - Kitchen,Side Gravy,5.1,0.0
2025-06-01,hg,Add-ons - Kitchen,Add Grilled Chicken,5.08,0.0
2025-06-01,hg,Add-ons - Kitchen,Double Scoop,3.56,0.0
2025-06-01,hg,Add-ons - Kitchen,Extra Cheese,2.04,0.0
2025-06-01,hg,Add-ons - Kitchen,Add Cheese,2.04,0.0
2025-06-01,hg,Add-ons - Kitchen,Aioli Dipping Sauce,1.52,0.0
2025-06-01,hg,Add-ons - Kitchen,BBQ Dipping Sauce,0.95,0.0
2025-06-01,hg,Add-ons - Kitchen,Extra Blue Cheese Dip,0.91,0.0
2025-06-01,hg,Add-ons - Kitchen,Tomato Dipping Sauce,0.5,0.0
2025-06-01,mari,Add-ons - Pizza,Add Bacon,6.1,0.0
2025-06-01,mari,Add-ons - Pizza,Add Anchovies,3.84,0.0
2025-06-01,mari,Add-ons - Pizza,Add Pepperoni,3.64,0.0
2025-06-01,mari,Add-ons - Pizza,Add Prawns,2.73,0.0
2025-06-01,mari,Add-ons - Pizza,Add Olives,2.02,0.0
2025-06-01,mari,Add-ons - Pizza,Add Jalapenos,1.91,0.0
2025-06-01,mari,Add-ons - Pizza,Extra Mozzarella,1.82,0.0
2025-06-01,mari,Add-ons - Pizza,Add Chicken,1.82,0.0
2025-06-01,mari,Add-ons - Pizza,Add Cabanossi,1.82,0.0
2025-06-01,mari,Add-ons - Pizza,Add Prosciutto,1.82,0.0
2025-06-01,mari,Add-ons - Pizza,Add Pineapple,1.02,0.0
2025-06-01,mari,Add-ons - Pizza,Add Chilli,0.95,0.0
2025-06-01,mari,Add-ons - Pizza,Add Ham,0.91,0.0
2025-06-01,mari,Dine-in Pizza,Regular Little Italy [Dine-in],111.56,0.0
2025-06-01,mari,Dine-in Pizza,"Regular No Chorizo, No Cry [Dine-in]",92.78,0.0
2025-06-01,mari,Dine-in Pizza,Regular Uber Margherita [Dine-in],81.08,0.0
2025-06-01,mari,Dine-in Pizza,Regular Hail Africa [Dine-in],69.84,0.0
2025-06-01,mari,Dine-in Pizza,Regular New Yorker [Dine-in],62.33,0.0
2025-06-01,mari,Dine-in Pizza,Regular Sanchez [Dine-in],23.0,0.0
2025-06-01,mari,Dine-in Pizza,Regular Truffalo Soldier [Dine-in],22.38,0.0
2025-06-01,mari,Marilyna's Pizza,Large Pepperoni,103.46,0.0
2025-06-01,mari,Marilyna's Pizza,Family Super House Special,82.36,0.0
2025-06-01,mari,Marilyna's Pizza,Large Meatlovers,62.73,0.0
2025-06-01,mari,Marilyna's Pizza,Large Hawaiian,60.82,0.0
2025-06-01,mari,Marilyna's Pizza,Garlic Bread,56.94,0.0
2025-06-01,mari,Marilyna's Pizza,Family  Pepperoni,52.72,0.0
2025-06-01,mari,Marilyna's Pizza,Family Hawaiian,50.9,0.0
2025-06-01,mari,Marilyna's Pizza,Family Bubba Gump,50.9,0.0
2025-06-01,mari,Marilyna's Pizza,Regular Super House Special,49.08,0.0
2025-06-01,mari,Marilyna's Pizza,Large Sorrento,44.73,0.0
2025-06-01,mari,Marilyna's Pizza,Large BBQ Chicken Pizza,42.91,0.0
2025-06-01,mari,Marilyna's Pizza,Large Margherita,40.0,0.0
2025-06-01,mari,Marilyna's Pizza,Regular Little Italy,34.54,0.0
2025-06-01,mari,Marilyna's Pizza,Regular Meatlovers,32.77,0.0
2025-06-01,mari,Marilyna's Pizza,"Family No Chorizo, No Cry",29.0,0.0
2025-06-01,mari,Marilyna's Pizza,Family Southern Lamb,28.48,0.0
2025-06-01,mari,Marilyna's Pizza,Family BBQ Chicken Pizza,28.48,0.0
2025-06-01,mari,Marilyna's Pizza,Family Meatlovers,28.48,0.0
2025-06-01,mari,Marilyna's Pizza,Family New Yorker,27.46,0.0
2025-06-01,mari,Marilyna's Pizza,Family Cosmopolitan,27.27,0.0
2025-06-01,mari,Marilyna's Pizza,Large Tandoori Chicken,22.0,0.0
2025-06-01,mari,Marilyna's Pizza,Large Prawn Hub,22.0,0.0
2025-06-01,mari,Marilyna's Pizza,Large Super House Special,22.0,0.0
2025-06-01,mari,Marilyna's Pizza,Large Bubba Gump,22.0,0.0
2025-06-01,mari,Marilyna's Pizza,Gluten-free Meatlovers,20.0,0.0
2025-06-01,mari,Marilyna's Pizza,Family  Sanchez,20.0,0.0
2025-06-01,mari,Marilyna's Pizza,Family  Super House,20.0,0.0
2025-06-01,mari,Marilyna's Pizza,Regular Truffalo Soldier,18.18,0.0
2025-06-01,mari,Marilyna's Pizza,Regular Tandoori Chicken,17.27,0.0
2025-06-01,mari,Marilyna's Pizza,Regular Cosmopolitan,17.0,0.0
2025-06-01,mari,Marilyna's Pizza,Regular Mexicana,16.3,0.0
2025-06-01,mari,Marilyna's Pizza,Regular Hawaiian,15.45,0.0
2025-06-01,mari,Marilyna's Pizza,Family Garlic Cheese Pizza,15.25,0.0
