week_ending,venue,reporting_group,sales_ex_gst,qty
2024-10-27,mari,Add-ons - Pizza,87.26,403.0
2024-10-27,mari,Delivery Alcohol,258.3,11.0
2024-10-27,mari,Delivery Cocktails,153.54,7.0
2024-10-27,mari,Dine-in Pizza,2410.75,136.0
2024-10-27,mari,Marilyna's Pizza,4738.95,358.0
2024-10-27,mari,Marilyna's Soft Drinks,12.43,4.0
2024-10-27,stow,Add-ons - Bar,17.45,12.0
2024-10-27,stow,Add-ons - Kitchen,267.57,386.0
2024-10-27,stow,Amaro / Aperitif / Fortified Wine,32.73,3.0
2024-10-27,stow,Big Plates,4406.73,219.0
2024-10-27,stow,Bottles / Cans Alcoholic,673.82,68.0
2024-10-27,stow,Cocktails - Classic,9653.13,613.0
2024-10-27,stow,Cocktails - Signature,1906.56,140.0
2024-10-27,stow,Delivery Kitchen,613.46,45.0
2024-10-27,stow,Desserts,102.92,9.0
2024-10-27,stow,Gin,613.74,61.0
2024-10-27,stow,Kids Meals,401.35,34.0
2024-10-27,stow,Kitchen Specials,1376.61,62.0
2024-10-27,stow,Mocktails,467.74,39.0
2024-10-27,stow,Modifiers,0.18,173.0
2024-10-27,stow,Non-alcoholic,715.96,200.0
2024-10-27,stow,None,0.0,293.0
2024-10-27,stow,Orange / Skins Wine,369.72,26.0
2024-10-27,stow,Pet Nat Wine,30.79,4.0
2024-10-27,stow,Red Wine,2086.38,114.0
2024-10-27,stow,Rose Wine,979.61,66.0
2024-10-27,stow,Rum,138.56,13.0
2024-10-27,stow,Salads,511.55,26.0
2024-10-27,stow,Small Plates,5658.46,399.0
2024-10-27,stow,Sparkling Wine,1494.97,97.0
2024-10-27,stow,Staff Dinners,293.64,65.0
2024-10-27,stow,Stow Food,4.5,8.0
2024-10-27,stow,Tap Beer,9997.22,1006.8
2024-10-27,stow,Tequila,58.67,6.0
2024-10-27,stow,Vodka,375.45,45.0
2024-10-27,stow,Whisky,131.22,13.0
2024-10-27,stow,White Wine,1846.22,129.0
2024-11-03,mari,Add-ons - Pizza,130.05,112.0
2024-11-03,mari,Delivery Alcohol,110.58,9.0
2024-11-03,mari,Delivery Cocktails,75.0,3.0
2024-11-03,mari,Dine-in Pizza,3112.55,154.0
2024-11-03,mari,Marilyna's Pizza,8818.45,602.0
2024-11-03,mari,Marilyna's Soft Drinks,112.96,26.0
2024-11-03,stow,Add-ons - Bar,51.45,33.0
2024-11-03,stow,Add-ons - Kitchen,345.42,372.0
2024-11-03,stow,Amaro / Aperitif / Fortified Wine,25.89,2.0
2024-11-03,stow,Big Plates,6542.24,316.0
2024-11-03,stow,Bottles / Cans Alcoholic,901.11,94.0
2024-11-03,stow,Cocktails - Classic,10627.69,705.0
2024-11-03,stow,Cocktails - Signature,3628.92,226.0
2024-11-03,stow,Delivery Kitchen,1152.04,81.0
2024-11-03,stow,Desserts,142.32,13.0
2024-11-03,stow,Functions & Misc.,63.74,3.0
