date,revenue_ex_gst,cogs_dollars,cogs_pct,wages_dollars,wages_pct,delivery_dollars,delivery_pct,gp_dollars,gp_pct,eatclub_giveaway_ex_gst,eatclub_covers,cogs_alert,wages_alert,delivery_alert,gp_alert,food_ex_gst,bev_ex_gst,food_cogs,bev_cogs,food_cogs_pct,bev_cogs_pct,food_gp_pct,bev_gp_pct,wages_kitchen_dollars,wages_foh_dollars,wages_driver_dollars,wages_admin_dollars,wages_assumed_dollars,wages_assumed_shifts,wages_kitchen_pct,wages_foh_pct,cogs_food_alert,cogs_bev_alert,wages_kitchen_alert,wages_foh_alert,uber_eats_revenue,uber_direct_dollars,leave_dollars
2024-10-22,,,,250.81,,,,,,,,,,,,,,,,,,,,0,0,0,250.81,,0,,,,,,,,,
2024-10-23,4599.96,0.00,0.0,501.63,10.9,,,4599.96,100.0,,,green,unknown,n/a,unknown,1876.92,2723.04,0.00,0.00,0.0,0.0,100.0,100.0,0,0,0,501.63,,0,0.0,0.0,green,green,unknown,unknown,0,,
2024-10-24,5351.07,0.00,0.0,799.47,14.9,,,5351.07,100.0,,,green,unknown,n/a,unknown,1453.88,3897.19,0.00,0.00,0.0,0.0,100.0,100.0,0,0,0,799.47,,0,0.0,0.0,green,green,unknown,unknown,0,,
2024-10-25,11893.67,0.00,0.0,0,0.0,,,11893.67,100.0,,,green,unknown,n/a,unknown,2844.55,9049.12,0.00,0.00,0.0,0.0,100.0,100.0,0,0,0,0,,0,0.0,0.0,green,green,unknown,unknown,0,,
2024-10-26,12724.59,0.00,0.0,0,0.0,,,12724.59,100.0,,,green,unknown,n/a,unknown,3489.83,9234.76,0.00,0.00,0.0,0.0,100.0,100.0,0,0,0,0,,0,0.0,0.0,green,green,unknown,unknown,0,,
2024-10-27,10811.16,0.00,0.0,226.2,2.1,,,10811.16,100.0,,,green,unknown,n/a,unknown,3968.11,6843.05,0.00,0.00,0.0,0.0,100.0,100.0,226.2,0,0,0,226.2,0,5.7,0.0,green,green,unknown,unknown,0,,
2024-10-28,0.09,0.0,0.0,0,0.0,,,0.09,100.0,,,green,unknown,n/a,unknown,0.0,0.09,0.0,0.0,,0.0,,100.0,0,0,0,0,,0,,0.0,unknown,green,unknown,unknown,0,,
2024-10-29,3691.33,0.00,0.0,170.73,4.6,,,3691.33,100.0,,,green,unknown,n/a,unknown,1428.62,2262.71,0.00,0.00,0.0,0.0,100.0,100.0,170.73,0,0,0,170.73,0,12.0,0.0,green,green,unknown,unknown,0,,
2024-10-30,6818.00,0.00,0.0,807.08,11.8,,,6818.00,100.0,,,green,unknown,n/a,unknown,2498.36,4319.64,0.00,0.00,0.0,0.0,100.0,100.0,0,138.9,0,668.18,138.9,0,0.0,3.2,green,green,unknown,unknown,0,,
2024-10-31,8883.65,0.00,0.0,883.72,9.9,,,8883.65,100.0,,,green,unknown,n/a,unknown,3242.26,5641.39,0.00,0.00,0.0,0.0,100.0,100.0,0,0,0,883.72,,0,0.0,0.0,green,green,unknown,unknown,0,,
2024-11-01,12367.28,0.00,0.0,0,0.0,,,12367.28,100.0,,,green,unknown,n/a,unknown,3020.26,9347.02,0.00,0.00,0.0,0.0,100.0,100.0,0,0,0,0,,0,0.0,0.0,green,green,unknown,unknown,0,,
2024-11-02,14689.54,0.00,0.0,354.19,2.4,,,14689.54,100.0,,,green,unknown,n/a,unknown,3428.05,11261.49,0.00,0.00,0.0,0.0,100.0,100.0,0,354.19,0,0,354.19,0,0.0,3.1,green,green,unknown,unknown,0,,
2024-11-03,10872.71,321.01,3.0,270.85,2.5,,,10551.70,97.0,,,green,unknown,n/a,unknown,4658.95,6213.76,0.00,321.01,0.0,5.2,100.0,94.8,0,270.85,0,0,270.85,0,0.0,4.4,green,green,unknown,unknown,0,,
2024-11-04,0.0,6.14,,0,,,,-6.14,,,,unknown,unknown,n/a,unknown,0.0,0.0,0.0,6.14,,,,,0,0,0,0,,0,,,unknown,unknown,unknown,unknown,0,,
2024-11-05,4271.76,445.18,10.4,355.67,8.3,,,3826.58,89.6,,,green,unknown,n/a,unknown,1851.13,2420.63,0.00,445.18,0.0,18.4,100.0,81.6,355.67,0,0,0,355.67,0,19.2,0.0,green,green,unknown,unknown,0,,
