,Reporting Group Name,Sale Closed Hour of Day,Site Name,Sale Closed Date,Total Revenue,Gross Sale Ex Tax,Gross Sale Inc Tax
1,Desserts,17,Stowaway Bar,2026-07-19,,$10.91,$12.00
2,Bottles / Cans Alcoholic,12,Stowaway Bar,2026-07-19,,$14.00,$15.40
3,Amaro / Aperitif / Fortified Wine,15,Stowaway Bar,2026-07-19,,$10.00,$11.00
4,Non-alcoholic,13,Stowaway Bar,2026-07-19,,$25.00,$27.50
5,Red Wine,17,Stowaway Bar,2026-07-19,,$316.00,$347.60
6,Red Wine,12,Stowaway Bar,2026-07-19,,$43.00,$47.30
7,Rose Wine,16,Stowaway Bar,2026-07-19,,$28.00,$30.80
8,Marilyna's Pizza,16,Stowaway Bar,2026-07-19,,$49.50,$54.45
9,Cocktails - Classic,17,Stowaway Bar,2026-07-19,,$262.09,$288.30
10,None,19,Stowaway Bar,2026-07-19,,$0.00,$0.00
11,Add-ons - Pizza,16,Stowaway Bar,2026-07-19,,$5.47,$5.87
12,Dine-in Pizza,17,Stowaway Bar,2026-07-19,,$98.00,$107.80
13,Kitchen Specials,12,Stowaway Bar,2026-07-19,,$396.50,$436.15
14,Tap Beer,17,Stowaway Bar,2026-07-19,,$837.31,$921.02
15,Orange / Skins Wine,20,Stowaway Bar,2026-07-19,,$92.00,$101.20
16,Orange / Skins Wine,14,Stowaway Bar,2026-07-19,,$38.00,$41.80
17,Orange / Skins Wine,21,Stowaway Bar,2026-07-19,,$73.00,$80.30
18,Add-ons - Kitchen,14,Stowaway Bar,2026-07-19,,$10.01,$11.00
19,Big Plates,15,Stowaway Bar,2026-07-19,,$65.79,$72.38
20,Sides,12,Stowaway Bar,2026-07-19,,$10.00,$11.00
21,Sides,17,Stowaway Bar,2026-07-19,,$12.00,$13.20
22,Cocktails - Classic,12,Stowaway Bar,2026-07-19,,$44.00,$48.40
23,Rose Wine,13,Stowaway Bar,2026-07-19,,$66.01,$72.60
24,Small Plates,16,Stowaway Bar,2026-07-19,,$155.69,$171.27
25,Salads,17,Stowaway Bar,2026-07-19,,$18.00,$19.80
26,Kids Meals,16,Stowaway Bar,2026-07-19,,$13.00,$14.30
27,Bottles / Cans Alcoholic,15,Stowaway Bar,2026-07-19,,$31.51,$34.65
28,Bottles / Cans Alcoholic,16,Stowaway Bar,2026-07-19,,$42.00,$46.20
29,Bottles / Cans Alcoholic,18,Stowaway Bar,2026-07-19,,$20.99,$23.10
30,Modifiers,16,Stowaway Bar,2026-07-19,,$0.00,$0.00
31,Gin,16,Stowaway Bar,2026-07-19,,$36.00,$39.60
32,Gin,15,Stowaway Bar,2026-07-19,,$43.00,$47.30
33,Whisky,19,Stowaway Bar,2026-07-19,,$84.00,$92.40
34,Mocktails,16,Stowaway Bar,2026-07-19,,$13.00,$14.30
35,Mocktails,15,Stowaway Bar,2026-07-19,,$13.00,$14.30
36,Non-alcoholic,14,Stowaway Bar,2026-07-19,,$62.50,$68.75
37,Non-alcoholic,18,Stowaway Bar,2026-07-19,,$16.00,$17.60
38,Red Wine,18,Stowaway Bar,2026-07-19,,$312.00,$343.20
39,Red Wine,19,Stowaway Bar,2026-07-19,,$82.00,$90.20
40,Cocktails - Classic,21,Stowaway Bar,2026-07-19,,$21.00,$23.10
41,Dine-in Pizza,19,Stowaway Bar,2026-07-19,,$24.00,$26.40
42,Kitchen Specials,18,Stowaway Bar,2026-07-19,,$276.86,$304.59
43,Kitchen Specials,14,Stowaway Bar,2026-07-19,,$433.00,$476.30
44,Tap Beer,15,Stowaway Bar,2026-07-19,,$265.00,$291.50
45,Add-ons - Kitchen,13,Stowaway Bar,2026-07-19,,$10.74,$11.80
46,White Wine,15,Stowaway Bar,2026-07-19,,$63.50,$69.85
47,Dine-in Pizza,20,Stowaway Bar,2026-07-19,,$26.00,$28.60
48,Cocktails - Signature,13,Stowaway Bar,2026-07-19,,$114.00,$125.40
49,Big Plates,21,Stowaway Bar,2026-07-19,,$32.90,$36.19
50,Cocktails - Signature,16,Stowaway Bar,2026-07-19,,$67.00,$73.70
51,Cocktails - Classic,15,Stowaway Bar,2026-07-19,,$106.02,$116.60
52,Cocktails - Classic,14,Stowaway Bar,2026-07-19,,$83.00,$91.30
53,Cocktails - Classic,18,Stowaway Bar,2026-07-19,,$131.00,$144.10
54,Sparkling Wine,14,Stowaway Bar,2026-07-19,,$32.00,$35.20
55,Cocktails - Classic,22,Stowaway Bar,2026-07-19,,$22.00,$24.20
56,Tap Beer,22,Stowaway Bar,2026-07-19,,$12.50,$13.75
57,Small Plates,17,Stowaway Bar,2026-07-19,,$111.79,$122.98
58,Small Plates,13,Stowaway Bar,2026-07-19,,$12.90,$14.19
59,Salads,12,Stowaway Bar,2026-07-19,,$36.00,$39.60
60,Kids Meals,12,Stowaway Bar,2026-07-19,,$26.00,$28.60
61,Pet Nat Wine,16,Stowaway Bar,2026-07-19,,$63.00,$69.30
62,Pet Nat Wine,15,Stowaway Bar,2026-07-19,,$63.00,$69.30
63,Red Wine,14,Stowaway Bar,2026-07-19,,$57.00,$62.70
64,None,17,Stowaway Bar,2026-07-19,,$0.00,$0.00
65,Dine-in Pizza,16,Stowaway Bar,2026-07-19,,$50.00,$55.00
66,Big Plates,19,Stowaway Bar,2026-07-19,,$58.00,$63.80
67,Big Plates,18,Stowaway Bar,2026-07-19,,$65.80,$72.38
68,Sides,15,Stowaway Bar,2026-07-19,,$12.00,$13.20
69,Red Wine,20,Stowaway Bar,2026-07-19,,$15.00,$16.50
70,Rose Wine,19,Stowaway Bar,2026-07-19,,$16.00,$17.60
71,Cocktails - Signature,12,Stowaway Bar,2026-07-19,,$15.00,$16.50
72,Big Plates,12,Stowaway Bar,2026-07-19,,$222.40,$244.64
73,Big Plates,17,Stowaway Bar,2026-07-19,,$203.61,$223.97
74,Salads,13,Stowaway Bar,2026-07-19,,$18.00,$19.80
75,Cocktails - Classic,19,Stowaway Bar,2026-07-19,,$41.00,$45.10
76,Gin,19,Stowaway Bar,2026-07-19,,$11.00,$12.10
77,Vodka,18,Stowaway Bar,2026-07-19,,$50.00,$55.00
78,Vodka,19,Stowaway Bar,2026-07-19,,$22.00,$24.20
79,Vodka,14,Stowaway Bar,2026-07-19,,$11.00,$12.10
80,Add-ons - Pizza,17,Stowaway Bar,2026-07-19,,$22.74,$24.79
81,None,16,Stowaway Bar,2026-07-19,,$0.00,$0.00
