date,shop,sales_inc_gst,payout_inc_gst,commission_inc_gst,offers_inc_gst,source
2026-07-13,hg,67.50,45.22,22.28,0.00,ubereats_portal
2026-07-14,mari,576.50,336.52,190.25,49.73,ubereats_portal
2026-07-15,hg,111.50,74.73,36.80,0.00,ubereats_portal
2026-07-15,mari,430.00,278.29,141.90,9.81,ubereats_portal
2026-07-16,hg,38.00,25.46,12.54,0.00,ubereats_portal
2026-07-16,mari,609.00,350.55,200.97,57.48,ubereats_portal
2026-07-17,hg,89.00,59.63,29.37,0.00,ubereats_portal
2026-07-17,mari,1576.50,944.80,520.25,111.45,ubereats_portal
2026-07-18,hg,248.50,166.49,82.01,0.00,ubereats_portal
2026-07-18,mari,996.50,618.09,328.85,49.56,ubereats_portal
2026-07-19,hg,0.00,-2.00,0.00,0.00,ubereats_portal
2026-07-19,mari,396.65,209.58,130.89,56.18,ubereats_portal
2026-07-20,hg,190.00,72.30,62.70,0.00,ubereats_portal
2026-07-20,mari,0.00,-29.10,0.00,0.00,ubereats_portal
2026-07-21,mari,291.00,156.85,96.03,38.12,ubereats_portal
2026-07-22,hg,47.00,31.50,15.51,0.00,ubereats_portal
2026-07-22,mari,299.00,170.68,98.67,29.65,ubereats_portal
2026-07-23,hg,212.50,142.37,70.13,0.00,ubereats_portal
2026-07-23,mari,360.00,291.13,118.80,0.00,ubereats_portal
2026-07-24,hg,377.00,252.58,124.41,0.00,ubereats_portal
2026-07-24,mari,1484.00,993.32,489.72,0.00,ubereats_portal
