week_ending,venue,actual_cogs_ex_gst,food_ex_gst,bev_ex_gst,other_ex_gst
2025-11-23,hg,5227.14,3550.87,1676.27,0.0
2025-11-23,mari,4495.14,4495.14,0.0,0.0
2025-11-23,stow,18313.27,6149.57,11357.4,806.3
2025-11-30,hg,5006.39,3639.23,1367.16,0.0
2025-11-30,mari,3907.91,3907.91,0.0,0.0
2025-11-30,stow,9953.87,5458.03,4495.84,0.0
2025-12-07,hg,4332.12,3827.34,504.78,0.0
2025-12-07,mari,4480.85,4480.85,0.0,0.0
2025-12-07,stow,13332.43,5322.45,7879.98,130.0
2025-12-14,hg,4812.57,2675.68,2136.89,0.0
2025-12-14,mari,4075.13,4075.13,0.0,0.0
2025-12-14,stow,14457.99,6484.69,7973.3,0.0
2025-12-21,hg,7303.5,5393.94,1855.01,54.55
2025-12-21,mari,3394.6,3394.6,0.0,0.0
2025-12-21,stow,16506.33,6873.15,9159.52,473.66
2025-12-28,hg,2048.82,470.1,1578.72,0.0
2025-12-28,mari,4395.96,4395.96,0.0,0.0
2025-12-28,stow,7375.4,4158.86,3216.54,0.0
2026-01-04,hg,2374.61,2151.0,105.78,117.83
2026-01-04,mari,3262.14,3262.14,0.0,0.0
2026-01-04,stow,10039.9,3669.0,6325.45,45.45
2026-01-11,hg,6273.72,5196.08,1023.09,54.55
2026-01-11,mari,4103.38,4103.38,0.0,0.0
2026-01-11,stow,16624.54,6870.69,9708.4,45.45
2026-01-18,hg,4562.04,2064.93,2438.02,59.09
2026-01-18,mari,3292.63,3292.63,0.0,0.0
2026-01-18,stow,17793.92,5275.81,12260.15,257.96
2026-01-25,hg,6293.43,5497.95,795.48,0.0
2026-01-25,mari,3116.68,3116.68,0.0,0.0
2026-01-25,stow,15878.06,5612.37,10244.6,21.09
2026-02-01,hg,2992.29,2071.33,920.96,0.0
2026-02-01,mari,3858.72,3858.72,0.0,0.0
2026-02-01,stow,12435.22,4051.27,8383.95,0.0
2026-02-08,hg,2464.45,1893.31,538.41,32.73
2026-02-08,mari,3040.43,3040.43,0.0,0.0
2026-02-08,stow,11742.85,3585.32,8095.71,61.82
2026-02-15,hg,4817.22,3407.58,1382.07,27.57
2026-02-15,mari,3412.31,3412.31,0.0,0.0
2026-02-15,stow,14870.82,3924.96,10681.81,264.05
2026-02-22,hg,4991.08,3303.85,1534.86,152.37
2026-02-22,mari,2890.89,2890.89,0.0,0.0
2026-02-22,stow,16137.38,4898.83,10707.84,530.71
2026-03-01,hg,5003.0,3709.89,1224.93,68.18
2026-03-01,mari,2592.36,2592.36,0.0,0.0
2026-03-01,stow,9948.1,3599.82,6189.88,158.4
2026-03-08,hg,4694.2,3649.54,1044.66,0.0
2026-03-08,mari,3628.58,3628.58,0.0,0.0
2026-03-08,stow,13446.62,5385.83,7697.1,363.69
2026-03-15,hg,2962.0,1987.66,933.43,40.91
2026-03-15,mari,2637.25,2637.25,0.0,0.0
2026-03-15,stow,9032.5,3574.09,5000.77,457.64
2026-03-22,hg,2958.22,2168.12,715.1,75.0
2026-03-22,mari,3861.67,3861.67,0.0,0.0
2026-03-22,stow,11605.6,2974.51,8073.21,557.88
2026-03-29,hg,3056.72,1971.17,1017.37,68.18
2026-03-29,mari,2213.45,2213.45,0.0,0.0
2026-03-29,stow,10697.88,3306.93,7000.67,390.28
2026-04-05,hg,2384.99,2130.81,0.0,254.18
2026-04-05,mari,2988.66,2988.66,0.0,0.0
2026-04-05,stow,11629.19,4629.79,6608.7,390.7
2026-04-12,hg,4313.18,2502.76,1670.73,139.69
2026-04-12,mari,2747.27,2744.54,0.0,2.73
2026-04-12,stow,7657.87,1845.09,5628.87,183.91
2026-04-19,hg,2577.6,2180.98,222.5,174.12
2026-04-19,mari,2840.78,2834.78,0.0,6.0
2026-04-19,stow,7317.32,3961.91,3206.84,148.57
2026-04-26,hg,2758.21,1731.92,667.92,358.37
